Date,date1,SST,SST_Anomaly,HotSpot,DHW
2012-Mar-27,27/3/12,23.891,-0.147,0,
2012-Mar-28,28/3/12,23.792,-0.328,0,
2012-Mar-29,29/3/12,24.705,0.503,0,
2012-Mar-30,30/3/12,25.455,1.172,0,
2012-Mar-31,31/3/12,24.92,0.555,0,
2012-Apr-01,1/4/12,23.833,-0.614,0,
2012-Apr-02,2/4/12,23.882,-0.647,0,
2012-Apr-03,3/4/12,24.968,0.358,0,
2012-Apr-04,4/4/12,25.439,0.747,0,
2012-Apr-05,5/4/12,25.82,1.046,0,
2012-Apr-06,6/4/12,25.349,0.493,0,
2012-Apr-07,7/4/12,26.18,1.242,0,
2012-Apr-08,8/4/12,25.685,0.665,0,
2012-Apr-09,9/4/12,26.433,1.331,0,
2012-Apr-10,10/4/12,25.787,0.604,0,
2012-Apr-11,11/4/12,26.864,1.598,0,
2012-Apr-12,12/4/12,25.889,0.542,0,
2012-Apr-13,13/4/12,25.142,-0.287,0,
2012-Apr-14,14/4/12,25.652,0.141,0,
2012-Apr-15,15/4/12,24.523,-1.07,0,
2012-Apr-16,16/4/12,25.58,-0.122,0,
2012-Apr-17,17/4/12,24.808,-1.004,0,
2012-Apr-18,18/4/12,24.459,-1.463,0,
2012-Apr-19,19/4/12,23.652,-2.38,0,
2012-Apr-20,20/4/12,24.803,-1.338,0,
2012-Apr-21,21/4/12,25.822,-0.429,0,
2012-Apr-22,22/4/12,25.763,-0.597,0,
2012-Apr-23,23/4/12,26.279,-0.191,0,
2012-Apr-24,24/4/12,25.983,-0.597,0,
2012-Apr-25,25/4/12,26.366,-0.324,0,
2012-Apr-26,26/4/12,26.305,-0.495,0,
2012-Apr-27,27/4/12,27.499,0.589,0,
2012-Apr-28,28/4/12,27.319,0.299,0,
2012-Apr-29,29/4/12,26.812,-0.317,0,
2012-Apr-30,30/4/12,27.931,0.692,0,
2012-May-01,1/5/12,28.036,0.688,0,
2012-May-02,2/5/12,28.281,0.823,0,
2012-May-03,3/5/12,29.176,1.608,0,
2012-May-04,4/5/12,29.39,1.712,0,
2012-May-05,5/5/12,29.721,1.933,0,
2012-May-06,6/5/12,30.296,2.399,0,
2012-May-07,7/5/12,28.977,0.97,0,
2012-May-08,8/5/12,29.044,0.927,0,
2012-May-09,9/5/12,29.343,1.116,0,
2012-May-10,10/5/12,29.13,0.793,0,
2012-May-11,11/5/12,28.393,-0.054,0,
2012-May-12,12/5/12,29.638,1.082,0,
2012-May-13,13/5/12,29.925,1.259,0,
2012-May-14,14/5/12,29.22,0.445,0,
2012-May-15,15/5/12,30.406,1.521,0,
2012-May-16,16/5/12,30.381,1.416,0,
2012-May-17,17/5/12,30.038,0.993,0,
2012-May-18,18/5/12,29.192,0.067,0,
2012-May-19,19/5/12,29.961,0.756,0,
2012-May-20,20/5/12,30.62,1.335,0,
2012-May-21,21/5/12,30.565,1.2,0,
2012-May-22,22/5/12,31.049,1.604,0,
2012-May-23,23/5/12,30.164,0.639,0,
2012-May-24,24/5/12,29.476,-0.128,0,
2012-May-25,25/5/12,29.086,-0.599,0,
2012-May-26,26/5/12,29.753,-0.012,0,
2012-May-27,27/5/12,29.742,-0.103,0,
2012-May-28,28/5/12,29.725,-0.2,0,
2012-May-29,29/5/12,30.262,0.257,0,
2012-May-30,30/5/12,30.247,0.162,0,
2012-May-31,31/5/12,30.546,0.381,0,
2012-Jun-01,1/6/12,31.575,1.331,0,
2012-Jun-02,2/6/12,32.003,1.678,0,
2012-Jun-03,3/6/12,31.733,1.329,0,
2012-Jun-04,4/6/12,31.626,1.141,0,
2012-Jun-05,5/6/12,30.971,0.407,0,
2012-Jun-06,6/6/12,31.744,1.099,0,
2012-Jun-07,7/6/12,31.663,0.938,0,
2012-Jun-08,8/6/12,30.353,-0.452,0,
2012-Jun-09,9/6/12,30.812,-0.073,0,
2012-Jun-10,10/6/12,31.951,0.986,0,
2012-Jun-11,11/6/12,32.01,0.966,0,
2012-Jun-12,12/6/12,31.937,0.812,0,
2012-Jun-13,13/6/12,31.522,0.318,0,
2012-Jun-14,14/6/12,31.781,0.497,0,
2012-Jun-15,15/6/12,32.283,0.919,0,
2012-Jun-16,16/6/12,32.855,1.452,0.325,
2012-Jun-17,17/6/12,32.873,1.431,0.343,
2012-Jun-18,18/6/12,33.205,1.724,0.675,0
2012-Jun-19,19/6/12,32.708,1.188,0.177,0
2012-Jun-20,20/6/12,32.311,0.753,0,0
2012-Jun-21,21/6/12,32.165,0.568,0,0
2012-Jun-22,22/6/12,31.994,0.357,0,0
2012-Jun-23,23/6/12,32.246,0.571,0,0
2012-Jun-24,24/6/12,32.915,1.201,0.385,0
2012-Jun-25,25/6/12,32.567,0.814,0.037,0
2012-Jun-26,26/6/12,32.244,0.452,0,0
2012-Jun-27,27/6/12,32.701,0.871,0.171,0
2012-Jun-28,28/6/12,32.317,0.448,0,0
2012-Jun-29,29/6/12,32.485,0.576,0,0
2012-Jun-30,30/6/12,32.838,0.891,0.307,0
2012-Jul-01,1/7/12,32.794,0.808,0.263,0
2012-Jul-02,2/7/12,33.163,1.138,0.633,0
2012-Jul-03,3/7/12,33.501,1.437,0.971,0
2012-Jul-04,4/7/12,33.098,0.995,0.567,0
2012-Jul-05,5/7/12,32.516,0.374,0,0
2012-Jul-06,6/7/12,32.825,0.644,0.294,0
2012-Jul-07,7/7/12,32.348,0.129,0,0
2012-Jul-08,8/7/12,30.73,-1.528,0,0
2012-Jul-09,9/7/12,31.674,-0.624,0,0
2012-Jul-10,10/7/12,31.779,-0.557,0,0
2012-Jul-11,11/7/12,32.842,0.467,0.311,0
2012-Jul-12,12/7/12,32.952,0.538,0.422,0
2012-Jul-13,13/7/12,31.951,-0.502,0,0
2012-Jul-14,14/7/12,32.707,0.216,0.177,0
2012-Jul-15,15/7/12,32.783,0.252,0.252,0
2012-Jul-16,16/7/12,32.363,-0.143,0,0
2012-Jul-17,17/7/12,32.484,0.003,0,0
2012-Jul-18,18/7/12,31.185,-1.271,0,0
2012-Jul-19,19/7/12,32.143,-0.289,0,0
2012-Jul-20,20/7/12,33.286,0.88,0.756,0
2012-Jul-21,21/7/12,32.859,0.478,0.329,0
2012-Jul-22,22/7/12,31.787,-0.569,0,0
2012-Jul-23,23/7/12,32.501,0.169,0,0
2012-Jul-24,24/7/12,32.964,0.656,0.433,0
2012-Jul-25,25/7/12,32.32,0.038,0,0
2012-Jul-26,26/7/12,32.847,0.589,0.316,0
2012-Jul-27,27/7/12,32.241,0.008,0,0
2012-Jul-28,28/7/12,32.809,0.601,0.279,0
2012-Jul-29,29/7/12,32.599,0.416,0.068,0
2012-Jul-30,30/7/12,33.181,1.022,0.65,0
2012-Jul-31,31/7/12,33.911,1.777,1.38,0.197
2012-Aug-01,1/8/12,33.544,1.436,1.014,0.342
2012-Aug-02,2/8/12,33.316,1.233,0.786,0.342
2012-Aug-03,3/8/12,33.452,1.393,0.922,0.342
2012-Aug-04,4/8/12,33.037,1.002,0.506,0.342
2012-Aug-05,5/8/12,33.033,1.024,0.503,0.342
