Date,date1,SST,SST_Anomaly,HotSpot,DHW
2012-Mar-27,27/3/12,23.769,0.09,0,
2012-Mar-28,28/3/12,23.679,-0.088,0,
2012-Mar-29,29/3/12,24.869,1.015,0,
2012-Mar-30,30/3/12,25.766,1.824,0,
2012-Mar-31,31/3/12,25.001,0.971,0,
2012-Apr-01,1/4/12,23.844,-0.273,0,
2012-Apr-02,2/4/12,23.957,-0.248,0,
2012-Apr-03,3/4/12,24.966,0.674,0,
2012-Apr-04,4/4/12,25.679,1.299,0,
2012-Apr-05,5/4/12,25.533,1.066,0,
2012-Apr-06,6/4/12,25.193,0.638,0,
2012-Apr-07,7/4/12,26.324,1.682,0,
2012-Apr-08,8/4/12,25.802,1.071,0,
2012-Apr-09,9/4/12,26.363,1.545,0,
2012-Apr-10,10/4/12,25.808,0.903,0,
2012-Apr-11,11/4/12,26.812,1.819,0,
2012-Apr-12,12/4/12,25.788,0.708,0,
2012-Apr-13,13/4/12,24.851,-0.317,0,
2012-Apr-14,14/4/12,25.124,-0.132,0,
2012-Apr-15,15/4/12,24.388,-0.955,0,
2012-Apr-16,16/4/12,25.393,-0.078,0,
2012-Apr-17,17/4/12,24.777,-0.821,0,
2012-Apr-18,18/4/12,24.465,-1.259,0,
2012-Apr-19,19/4/12,23.642,-2.21,0,
2012-Apr-20,20/4/12,24.478,-1.5,0,
2012-Apr-21,21/4/12,25.747,-0.358,0,
2012-Apr-22,22/4/12,25.452,-0.781,0,
2012-Apr-23,23/4/12,26.084,-0.276,0,
2012-Apr-24,24/4/12,25.692,-0.794,0,
2012-Apr-25,25/4/12,26.317,-0.296,0,
2012-Apr-26,26/4/12,26.4,-0.341,0,
2012-Apr-27,27/4/12,27.208,0.34,0,
2012-Apr-28,28/4/12,27.219,0.224,0,
2012-Apr-29,29/4/12,26.994,-0.127,0,
2012-Apr-30,30/4/12,27.772,0.524,0,
2012-May-01,1/5/12,27.804,0.428,0,
2012-May-02,2/5/12,28.12,0.617,0,
2012-May-03,3/5/12,28.922,1.292,0,
2012-May-04,4/5/12,29.324,1.567,0,
2012-May-05,5/5/12,29.748,1.865,0,
2012-May-06,6/5/12,29.812,1.802,0,
2012-May-07,7/5/12,28.795,0.657,0,
2012-May-08,8/5/12,28.815,0.551,0,
2012-May-09,9/5/12,29.363,0.971,0,
2012-May-10,10/5/12,28.914,0.395,0,
2012-May-11,11/5/12,28.349,-0.297,0,
2012-May-12,12/5/12,29.387,0.614,0,
2012-May-13,13/5/12,29.756,0.856,0,
2012-May-14,14/5/12,29.142,0.115,0,
2012-May-15,15/5/12,30.289,1.135,0,
2012-May-16,16/5/12,29.876,0.648,0,
2012-May-17,17/5/12,29.541,0.239,0,
2012-May-18,18/5/12,28.792,-0.584,0,
2012-May-19,19/5/12,29.549,0.099,0,
2012-May-20,20/5/12,29.99,0.467,0,
2012-May-21,21/5/12,29.761,0.163,0,
2012-May-22,22/5/12,30.063,0.392,0,
2012-May-23,23/5/12,29.557,-0.188,0,
2012-May-24,24/5/12,29.396,-0.423,0,
2012-May-25,25/5/12,28.99,-0.903,0,
2012-May-26,26/5/12,29.43,-0.536,0,
2012-May-27,27/5/12,29.549,-0.491,0,
2012-May-28,28/5/12,29.641,-0.474,0,
2012-May-29,29/5/12,30.366,0.178,0,
2012-May-30,30/5/12,30.133,-0.129,0,
2012-May-31,31/5/12,30.464,0.128,0,
2012-Jun-01,1/6/12,31.5,1.091,0,
2012-Jun-02,2/6/12,32.064,1.58,0,
2012-Jun-03,3/6/12,31.686,1.129,0,
2012-Jun-04,4/6/12,31.669,1.038,0,
2012-Jun-05,5/6/12,31.037,0.332,0,
2012-Jun-06,6/6/12,31.84,1.061,0,
2012-Jun-07,7/6/12,31.664,0.812,0,
2012-Jun-08,8/6/12,30.497,-0.43,0,
2012-Jun-09,9/6/12,31.231,0.231,0,
2012-Jun-10,10/6/12,31.83,0.755,0,
2012-Jun-11,11/6/12,31.909,0.761,0,
2012-Jun-12,12/6/12,31.973,0.751,0,
2012-Jun-13,13/6/12,31.645,0.349,0,
2012-Jun-14,14/6/12,32.063,0.694,0,
2012-Jun-15,15/6/12,32.419,0.976,0.331,
2012-Jun-16,16/6/12,32.882,1.417,0.793,
2012-Jun-17,17/6/12,32.885,1.398,0.796,
2012-Jun-18,18/6/12,32.944,1.436,0.856,0
2012-Jun-19,19/6/12,32.632,1.102,0.543,0
2012-Jun-20,20/6/12,32.139,0.588,0.05,0
2012-Jun-21,21/6/12,31.911,0.339,0,0
2012-Jun-22,22/6/12,31.757,0.162,0,0
2012-Jun-23,23/6/12,31.943,0.328,0,0
2012-Jun-24,24/6/12,32.626,0.989,0.538,0
2012-Jun-25,25/6/12,32.428,0.769,0.339,0
2012-Jun-26,26/6/12,32.274,0.594,0.185,0
2012-Jun-27,27/6/12,32.265,0.563,0.176,0
2012-Jun-28,28/6/12,32.188,0.465,0.099,0
2012-Jun-29,29/6/12,32.411,0.666,0.322,0
2012-Jun-30,30/6/12,33.059,1.293,0.97,0
2012-Jul-01,1/7/12,32.841,1.054,0.753,0
2012-Jul-02,2/7/12,33.295,1.486,1.206,0.172
2012-Jul-03,3/7/12,33.65,1.82,1.562,0.395
2012-Jul-04,4/7/12,33.225,1.372,1.136,0.558
2012-Jul-05,5/7/12,32.545,0.671,0.456,0.558
2012-Jul-06,6/7/12,32.809,0.914,0.72,0.558
2012-Jul-07,7/7/12,32.401,0.485,0.313,0.558
2012-Jul-08,8/7/12,30.966,-0.972,0,0.558
