Date,date1,SST,SST_Anomaly,HotSpot,DHW
2012-Mar-27,27/3/12,21.459,-1.385,0,
2012-Mar-28,28/3/12,22.563,-0.386,0,
2012-Mar-29,29/3/12,23.12,0.066,0,
2012-Mar-30,30/3/12,23.432,0.272,0,
2012-Mar-31,31/3/12,22.511,-0.754,0,
2012-Apr-01,1/4/12,22.162,-1.209,0,
2012-Apr-02,2/4/12,22.049,-1.427,0,
2012-Apr-03,3/4/12,23.482,-0.099,0,
2012-Apr-04,4/4/12,24.496,0.809,0,
2012-Apr-05,5/4/12,23.977,0.184,0,
2012-Apr-06,6/4/12,23.469,-0.429,0,
2012-Apr-07,7/4/12,23.473,-0.53,0,
2012-Apr-08,8/4/12,24.29,0.182,0,
2012-Apr-09,9/4/12,24.53,0.316,0,
2012-Apr-10,10/4/12,23.84,-0.48,0,
2012-Apr-11,11/4/12,25.018,0.593,0,
2012-Apr-12,12/4/12,23.679,-0.851,0,
2012-Apr-13,13/4/12,23.838,-0.797,0,
2012-Apr-14,14/4/12,24.367,-0.374,0,
2012-Apr-15,15/4/12,23.981,-0.865,0,
2012-Apr-16,16/4/12,23.928,-1.056,0,
2012-Apr-17,17/4/12,24.207,-0.915,0,
2012-Apr-18,18/4/12,23.341,-1.92,0,
2012-Apr-19,19/4/12,23.031,-2.368,0,
2012-Apr-20,20/4/12,24.82,-0.718,0,
2012-Apr-21,21/4/12,24.49,-1.186,0,
2012-Apr-22,22/4/12,24.193,-1.621,0,
2012-Apr-23,23/4/12,24.687,-1.265,0,
2012-Apr-24,24/4/12,24.705,-1.385,0,
2012-Apr-25,25/4/12,25.652,-0.577,0,
2012-Apr-26,26/4/12,25.578,-0.79,0,
2012-Apr-27,27/4/12,25.762,-0.744,0,
2012-Apr-28,28/4/12,26.304,-0.34,0,
2012-Apr-29,29/4/12,25.882,-0.901,0,
2012-Apr-30,30/4/12,26.72,-0.201,0,
2012-May-01,1/5/12,27.361,0.302,0,
