Date,date1,SST,SST_Anomaly,HotSpot,DHW
2012-Mar-27,27/3/12,21.9,-0.652,0,
2012-Mar-28,28/3/12,22.801,0.154,0,
2012-Mar-29,29/3/12,23.56,0.817,0,
2012-Mar-30,30/3/12,23.771,0.933,0,
2012-Mar-31,31/3/12,22.569,-0.365,0,
2012-Apr-01,1/4/12,22.048,-0.981,0,
2012-Apr-02,2/4/12,21.925,-1.2,0,
2012-Apr-03,3/4/12,23.279,0.059,0,
2012-Apr-04,4/4/12,24.459,1.144,0,
2012-Apr-05,5/4/12,23.406,-0.005,0,
2012-Apr-06,6/4/12,23.125,-0.381,0,
2012-Apr-07,7/4/12,22.976,-0.625,0,
2012-Apr-08,8/4/12,23.917,0.22,0,
2012-Apr-09,9/4/12,24.526,0.734,0,
2012-Apr-10,10/4/12,23.93,0.043,0,
2012-Apr-11,11/4/12,25.04,1.057,0,
2012-Apr-12,12/4/12,23.622,-0.456,0,
2012-Apr-13,13/4/12,22.635,-1.539,0,
2012-Apr-14,14/4/12,24.157,-0.113,0,
2012-Apr-15,15/4/12,23.671,-0.693,0,
2012-Apr-16,16/4/12,24.173,-0.335,0,
2012-Apr-17,17/4/12,24.201,-0.452,0,
2012-Apr-18,18/4/12,23.554,-1.242,0,
2012-Apr-19,19/4/12,22.977,-1.963,0,
2012-Apr-20,20/4/12,24.786,-0.297,0,
2012-Apr-21,21/4/12,24.658,-0.569,0,
2012-Apr-22,22/4/12,24.656,-0.714,0,
2012-Apr-23,23/4/12,25.295,-0.219,0,
2012-Apr-24,24/4/12,24.988,-0.67,0,
2012-Apr-25,25/4/12,25.814,0.013,0,
2012-Apr-26,26/4/12,25.91,-0.035,0,
2012-Apr-27,27/4/12,25.944,-0.145,0,
2012-Apr-28,28/4/12,26.535,0.303,0,
2012-Apr-29,29/4/12,25.821,-0.555,0,
2012-Apr-30,30/4/12,26.809,0.289,0,
2012-May-01,1/5/12,27.725,1.062,0,
2012-May-02,2/5/12,28.201,1.394,0,
2012-May-03,3/5/12,28.072,1.121,0,
2012-May-04,4/5/12,29.105,2.011,0,
2012-May-05,5/5/12,28.975,1.737,0,
2012-May-06,6/5/12,28.798,1.417,0,
2012-May-07,7/5/12,29.29,1.765,0,
2012-May-08,8/5/12,28.922,1.253,0,
2012-May-09,9/5/12,28.649,0.836,0,
2012-May-10,10/5/12,29.864,1.908,0,
2012-May-11,11/5/12,29.464,1.365,0,
2012-May-12,12/5/12,29.013,0.77,0,
2012-May-13,13/5/12,28.64,0.253,0,
2012-May-14,14/5/12,29.341,0.81,0,
2012-May-15,15/5/12,29.994,1.32,0,
2012-May-16,16/5/12,29.809,1.043,0,
2012-May-17,17/5/12,29.274,0.416,0,
2012-May-18,18/5/12,29.029,0.08,0,
2012-May-19,19/5/12,29.7,0.659,0,
2012-May-20,20/5/12,29.884,0.751,0,
2012-May-21,21/5/12,30.864,1.639,0,
2012-May-22,22/5/12,31.074,1.757,0,
2012-May-23,23/5/12,31.267,1.858,0,
2012-May-24,24/5/12,30.49,0.989,0,
2012-May-25,25/5/12,30.403,0.811,0,
2012-May-26,26/5/12,30.06,0.376,0,
2012-May-27,27/5/12,30.35,0.574,0,
2012-May-28,28/5/12,29.122,-0.746,0,
2012-May-29,29/5/12,30.069,0.109,0,
2012-May-30,30/5/12,31.274,1.222,0,
2012-May-31,31/5/12,31.421,1.278,0,
2012-Jun-01,1/6/12,31.235,1,0,
2012-Jun-02,2/6/12,31.089,0.763,0,
2012-Jun-03,3/6/12,31.157,0.738,0,
2012-Jun-04,4/6/12,31.093,0.582,0,
2012-Jun-05,5/6/12,31.347,0.745,0,
2012-Jun-06,6/6/12,30.82,0.126,0,
2012-Jun-07,7/6/12,30.627,-0.158,0,
2012-Jun-08,8/6/12,30.804,-0.073,0,
2012-Jun-09,9/6/12,30.984,0.014,0,
2012-Jun-10,10/6/12,31.783,0.722,0,
2012-Jun-11,11/6/12,31.43,0.277,0,
2012-Jun-12,12/6/12,31.705,0.46,0,
2012-Jun-13,13/6/12,31.516,0.179,0,
2012-Jun-14,14/6/12,31.694,0.265,0,
2012-Jun-15,15/6/12,32.019,0.499,0,
2012-Jun-16,16/6/12,31.612,0.064,0,
2012-Jun-17,17/6/12,31.968,0.392,0,
2012-Jun-18,18/6/12,32.184,0.579,0,0
2012-Jun-19,19/6/12,32.269,0.637,0,0
2012-Jun-20,20/6/12,31.966,0.305,0,0
2012-Jun-21,21/6/12,31.975,0.286,0,0
2012-Jun-22,22/6/12,32.119,0.402,0,0
2012-Jun-23,23/6/12,32.76,1.016,0,0
2012-Jun-24,24/6/12,32.221,0.448,0,0
2012-Jun-25,25/6/12,32.3,0.499,0,0
2012-Jun-26,26/6/12,32.203,0.374,0,0
2012-Jun-27,27/6/12,31.804,-0.053,0,0
2012-Jun-28,28/6/12,32.66,0.775,0,0
2012-Jun-29,29/6/12,32.554,0.641,0,0
2012-Jun-30,30/6/12,32.263,0.322,0,0
2012-Jul-01,1/7/12,32.399,0.429,0,0
2012-Jul-02,2/7/12,32.793,0.796,0,0
2012-Jul-03,3/7/12,32.945,0.919,0.083,0
2012-Jul-04,4/7/12,34.073,2.019,1.211,0.173
2012-Jul-05,5/7/12,33.666,1.585,0.805,0.173
2012-Jul-06,6/7/12,33.146,1.037,0.285,0.173
2012-Jul-07,7/7/12,33.702,1.564,0.841,0.173
2012-Jul-08,8/7/12,32.626,0.46,0,0.173
2012-Jul-09,9/7/12,32.948,0.754,0.086,0.173
2012-Jul-10,10/7/12,33.129,0.907,0.267,0.173
2012-Jul-11,11/7/12,33.712,1.462,0.851,0.173
2012-Jul-12,12/7/12,34.291,2.013,1.429,0.377
2012-Jul-13,13/7/12,34.305,1.999,1.444,0.583
2012-Jul-14,14/7/12,34.339,2.004,1.477,0.794
2012-Jul-15,15/7/12,33.903,1.541,1.042,0.943
2012-Jul-16,16/7/12,34.473,2.095,1.612,1.173
2012-Jul-17,17/7/12,33.945,1.55,1.083,1.328
2012-Jul-18,18/7/12,33.625,1.215,0.764,1.328
2012-Jul-19,19/7/12,34.467,2.04,1.605,1.558
2012-Jul-20,20/7/12,34.323,1.881,1.462,1.766
2012-Jul-21,21/7/12,34.141,1.682,1.279,1.949
2012-Jul-22,22/7/12,33.752,1.277,0.891,1.949
2012-Jul-23,23/7/12,34.466,1.975,1.605,2.178
2012-Jul-24,24/7/12,34.273,1.766,1.411,2.38
2012-Jul-25,25/7/12,33.236,0.712,0.374,2.38
2012-Jul-26,26/7/12,32.706,0.166,0,2.38
2012-Jul-27,27/7/12,33.949,1.393,1.087,2.535
2012-Jul-28,28/7/12,34.888,2.316,2.027,2.825
2012-Jul-29,29/7/12,34.09,1.502,1.228,3
2012-Jul-30,30/7/12,34.22,1.616,1.359,3.194
2012-Jul-31,31/7/12,33.727,1.107,0.865,3.194
2012-Aug-01,1/8/12,34.294,1.658,1.432,3.399
2012-Aug-02,2/8/12,34.069,1.416,1.207,3.571
2012-Aug-03,3/8/12,33.931,1.263,1.07,3.724
2012-Aug-04,4/8/12,33.674,0.99,0.813,3.724
