distance,t1,t2,date,date1,sst,sstanom,hotspot,dhw
0,0.801050775,0.708218909,2014-Sep-16,16/9/14,32.1,1.243,0,0
0.005,0.81352535,0.720896927,2014-Sep-15,15/9/14,31.351,0.471,0,0
0.0101,0.826350769,0.730690755,2014-Sep-14,14/9/14,31.438,0.53,0,0
0.0151,0.83845602,0.740775157,2014-Sep-13,13/9/14,31.902,0.965,0,0
0.0202,0.852427156,0.748956669,2014-Sep-12,12/9/14,31.874,0.909,0,0
0.0252,0.86527024,0.760614206,2014-Sep-11,11/9/14,31.997,1.004,0,0
0.0303,0.878093116,0.770658064,2014-Sep-10,10/9/14,31.816,0.795,0,0
0.0353,0.891405227,0.779288485,2014-Sep-09,9/9/14,31.697,0.647,0,0
0.0404,0.903789471,0.791608242,2014-Sep-08,8/9/14,31.789,0.71,0,0
0.0454,0.914914671,0.804679074,2014-Sep-07,7/9/14,32.157,1.05,0,0
0.0505,0.925486695,0.817574131,2014-Sep-06,6/9/14,32.257,1.121,0,0
0.0555,0.93555765,0.829535502,2014-Sep-05,5/9/14,32.163,0.999,0,0
0.0605,0.945179612,0.84005094,2014-Sep-04,4/9/14,32.059,0.867,0,0
0.0656,0.948860825,0.850607734,2014-Sep-03,3/9/14,31.6,0.379,0,0
0.0706,0.952374393,0.861367229,2014-Sep-02,2/9/14,32.678,1.429,0.148,0
0.0757,0.955080879,0.867757338,2014-Sep-01,1/9/14,31.978,0.7,0,0
0.0807,0.959496599,0.869382237,2014-Aug-31,31/8/14,31.091,-0.215,0,0
0.0858,0.96563397,0.874571204,2014-Aug-30,30/8/14,31.021,-0.314,0,0
0.0908,0.973874954,0.881006691,2014-Aug-29,29/8/14,31.249,-0.114,0,0
0.0959,0.984085349,0.889851747,2014-Aug-28,28/8/14,31.114,-0.278,0,0
0.1009,0.994522454,0.901169163,2014-Aug-27,27/8/14,31.061,-0.359,0,0
0.106,1.005030349,0.912698098,2014-Aug-26,26/8/14,30.388,-1.061,0,0
0.111,1.015745081,0.922884103,2014-Aug-25,25/8/14,30.322,-1.155,0,0
0.116,1.025630787,0.934344567,2014-Aug-24,24/8/14,30.398,-1.108,0,0
0.1211,1.034386432,0.941546628,2014-Aug-23,23/8/14,31.09,-0.444,0,0
0.1261,1.041306852,0.946466917,2014-Aug-22,22/8/14,31.174,-0.388,0,0
0.1312,1.048038795,0.948274731,2014-Aug-21,21/8/14,31.139,-0.451,0,0
0.1362,1.057737721,0.946797096,2014-Aug-20,20/8/14,30.808,-0.811,0,0
0.1413,1.063119664,0.939819824,2014-Aug-19,19/8/14,30.795,-0.853,0,0
0.1463,1.067636322,0.935769685,2014-Aug-18,18/8/14,30.251,-1.425,0,0
0.1514,1.074974672,0.930668747,2014-Aug-17,17/8/14,31.293,-0.412,0,0
0.1564,1.083679097,0.925409889,2014-Aug-16,16/8/14,29.961,-1.772,0,0
0.1614,1.090671099,0.921403241,2014-Aug-15,15/8/14,30.357,-1.404,0,0
0.1665,1.097873163,0.920582825,2014-Aug-14,14/8/14,30.639,-1.147,0,0
0.1715,1.10436175,0.921560372,2014-Aug-13,13/8/14,30.904,-0.907,0,0
0.1766,1.109139574,0.921018639,2014-Aug-12,12/8/14,31.446,-0.39,0,0
0.1816,1.113068994,0.92176502,2014-Aug-11,11/8/14,31.08,-0.781,0,0
0.1867,1.121160175,0.922536383,2014-Aug-10,10/8/14,31.564,-0.321,0,0
0.1917,1.128278907,0.923473362,2014-Aug-09,9/8/14,32.188,0.278,0,0
0.1968,1.136476657,0.926070181,2014-Aug-08,8/8/14,32.642,0.707,0.111,0
0.2018,1.143817619,0.928648872,2014-Aug-07,7/8/14,32.624,0.664,0.094,0
0.2069,1.147579277,0.93570203,2014-Aug-06,6/8/14,32.158,0.173,0,0
0.2119,1.149270083,0.942888638,2014-Aug-05,5/8/14,32.59,0.58,0.059,0
0.2169,1.147147201,0.950372909,2014-Aug-04,4/8/14,32.917,0.883,0.387,0
0.222,1.14338512,0.958381562,2014-Aug-03,3/8/14,32.692,0.632,0.161,0
0.227,1.135677862,0.964558515,2014-Aug-02,2/8/14,32.745,0.661,0.215,0
0.2321,1.131304098,0.968908811,2014-Aug-01,1/8/14,32.283,0.175,0,0
0.2371,1.126854242,0.978303141,2014-Jul-31,31/7/14,32.397,0.263,0,0
0.2422,1.123802228,0.983221542,2014-Jul-30,30/7/14,32.82,0.661,0.289,0
0.2472,1.124507747,0.983605366,2014-Jul-29,29/7/14,32.765,0.582,0.235,0
0.2523,1.125888988,0.98370458,2014-Jul-28,28/7/14,32.54,0.333,0.01,0
0.2573,1.128527269,0.984375592,2014-Jul-27,27/7/14,32.468,0.236,0,0
0.2624,1.132127631,0.986310467,2014-Jul-26,26/7/14,32.242,-0.015,0,0
0.2674,1.138392694,0.987208276,2014-Jul-25,25/7/14,32.396,0.113,0,0
0.2724,1.148241565,0.986826175,2014-Jul-24,24/7/14,32.828,0.521,0.298,0
0.2775,1.153102619,0.982768214,2014-Jul-23,23/7/14,32.308,-0.024,0,0
0.2825,1.155450075,0.982457437,2014-Jul-22,22/7/14,32.243,-0.114,0,0
0.2876,1.155512826,0.979482658,2014-Jul-21,21/7/14,32.198,-0.183,0,0
0.2926,1.151873637,0.973515498,2014-Jul-20,20/7/14,32.282,-0.124,0,0
0.2977,1.150521033,0.964956346,2014-Jul-19,19/7/14,31.804,-0.628,0,0
0.3027,1.151068076,0.958268288,2014-Jul-18,18/7/14,32.006,-0.45,0,0
0.3078,1.151115911,0.953453201,2014-Jul-17,17/7/14,32.137,-0.344,0,0
0.3128,1.152824977,0.953566155,2014-Jul-16,16/7/14,32.171,-0.335,0,0
0.3179,1.157144341,0.953622031,2014-Jul-15,15/7/14,31.654,-0.877,0,0
0.3229,1.154830952,0.952934874,2014-Jul-14,14/7/14,31.419,-1.072,0,0
0.3279,1.15253287,0.951573604,2014-Jul-13,13/7/14,31.857,-0.595,0,0
0.333,1.150739022,0.952013862,2014-Jul-12,12/7/14,32.949,0.535,0.418,0
0.338,1.150305482,0.954196249,2014-Jul-11,11/7/14,33.492,1.117,0.962,0
0.3431,1.151178533,0.951570859,2014-Jul-10,10/7/14,32.86,0.524,0.329,0
0.3481,1.152863637,0.951757024,2014-Jul-09,9/7/14,32.493,0.195,0,0
0.3532,1.14755532,0.958725232,2014-Jul-08,8/7/14,32.641,0.383,0.111,0
0.3582,1.146196173,0.965709104,2014-Jul-07,7/7/14,32.498,0.279,0,0
0.3633,1.145756798,0.975071153,2014-Jul-06,6/7/14,33.024,0.843,0.493,0
0.3683,1.140425032,0.984934845,2014-Jul-05,5/7/14,32.675,0.534,0.145,0
0.3733,1.138689969,0.993837705,2014-Jul-04,4/7/14,32.153,0.05,0,0
0.3784,1.13362603,1.007973148,2014-Jul-03,3/7/14,31.922,-0.142,0,0
0.3834,1.123772644,1.023728009,2014-Jul-02,2/7/14,32.038,0.013,0,0
