Time,date,Year,Delma,RasGhanada,Saadiyat,AlAqah,Dibba,month,season,yearday
1992OCT02,2/10/92,1992,90,89.755,92.983,88.715,88.677,OCT,fall,
1992OCT03,3/10/92,1992,87.077,87.141,93.046,88.619,88.627,OCT,fall,
1992OCT04,4/10/92,1992,87.813,92.617,92.721,88.51,88.531,OCT,fall,
1992OCT05,5/10/92,1992,87.02,92.443,92.716,89.059,89.166,OCT,fall,
1992OCT06,6/10/92,1992,92.947,92.331,92.799,88.68,88.782,OCT,fall,
1992OCT07,7/10/92,1992,93.114,90.601,92.763,88.59,88.694,OCT,fall,
1992OCT08,8/10/92,1992,86.898,91.571,92.645,91.681,91.492,OCT,fall,
1992OCT09,9/10/92,1992,87.218,92.55,92.667,91.751,91.865,OCT,fall,
1992OCT10,10/10/92,1992,87.231,92.466,92.601,91.627,91.818,OCT,fall,
1992OCT11,11/10/92,1992,92.538,92.634,92.678,91.523,91.541,OCT,fall,
1992OCT12,12/10/92,1992,87.224,89.422,87.233,91.532,91.511,OCT,fall,
1992OCT13,13/10/92,1992,92.737,89.517,88.049,91.426,91.383,OCT,fall,
1992OCT14,14/10/92,1992,90.828,89.576,89.694,91.377,91.326,OCT,fall,
1992OCT15,15/10/92,1992,89.377,89.506,89.571,91.466,91.423,OCT,fall,
1992OCT16,16/10/92,1992,90.96,89.86,90.133,91.451,91.508,OCT,fall,
1992OCT17,17/10/92,1992,91.93,89.774,87.277,91.373,91.51,OCT,fall,
1992OCT18,18/10/92,1992,92.678,92.783,93.102,91.085,91.128,OCT,fall,
1992OCT19,19/10/92,1992,87.563,92.719,92.875,91.045,91.094,OCT,fall,
1992OCT20,20/10/92,1992,86.858,92.71,92.766,90.987,91.001,OCT,fall,
1992OCT21,21/10/92,1992,87.296,91.976,87.103,91.064,91.167,OCT,fall,
1992OCT22,22/10/92,1992,86.893,92.62,92.873,91.322,91.404,OCT,fall,
1992OCT23,23/10/92,1992,93.125,92.549,92.702,91.555,91.61,OCT,fall,
1992OCT24,24/10/92,1992,86.96,92.391,92.531,91.503,91.504,OCT,fall,
1992OCT25,25/10/92,1992,91.249,89.536,89.611,91.395,91.466,OCT,fall,
1992OCT26,26/10/92,1992,92.554,89.424,89.344,91.509,91.517,OCT,fall,
1992OCT27,27/10/92,1992,87.196,89.402,88.893,91.242,91.26,OCT,fall,
1992OCT28,28/10/92,1992,92.778,89.171,87.533,91.326,91.426,OCT,fall,
1992OCT29,29/10/92,1992,92.246,89.202,88.7,91.288,91.378,OCT,fall,
1992OCT30,30/10/92,1992,92.802,87.585,93.034,90.983,90.733,OCT,fall,
1992OCT31,31/10/92,1992,87.234,92.634,92.554,91.393,91.449,OCT,fall,
1992NOV01,1/11/92,1992,87.21,92.799,92.708,91.406,91.478,NOV,fall,
1992NOV02,2/11/92,1992,92.785,92.711,92.755,91.571,89.058,NOV,fall,
1992NOV03,3/11/92,1992,92.993,92.544,92.688,91.822,92.078,NOV,fall,
1992NOV04,4/11/92,1992,92.769,92.496,92.595,91.754,91.663,NOV,fall,
1992NOV05,5/11/92,1992,92.901,92.507,92.563,91.587,91.413,NOV,fall,
1992NOV06,6/11/92,1992,87.162,92.509,92.627,91.19,90.867,NOV,fall,
1992NOV07,7/11/92,1992,87.205,92.66,92.686,88.893,89.12,NOV,fall,
1992NOV08,8/11/92,1992,87.113,92.604,92.661,88.452,88.555,NOV,fall,
1992NOV09,9/11/92,1992,87.081,92.646,92.661,88.38,88.449,NOV,fall,
1992NOV10,10/11/92,1992,87.056,92.593,92.532,88.31,88.487,NOV,fall,
1992NOV11,11/11/92,1992,92.904,92.678,92.695,88.341,88.482,NOV,fall,
1992NOV12,12/11/92,1992,92.866,92.537,92.574,88.472,88.582,NOV,fall,
1992NOV13,13/11/92,1992,92.808,92.565,92.707,88.621,88.893,NOV,fall,
1992NOV14,14/11/92,1992,87.018,92.535,92.813,88.541,88.764,NOV,fall,
1992NOV15,15/11/92,1992,90.992,92.467,92.932,88.61,88.782,NOV,fall,
1992NOV16,16/11/92,1992,90.019,89.675,89.64,88.623,88.805,NOV,fall,
1992NOV17,17/11/92,1992,90.693,89.86,90.007,88.756,88.836,NOV,fall,
1992NOV18,18/11/92,1992,90.603,89.432,89.783,88.509,88.596,NOV,fall,
1992NOV19,19/11/92,1992,90.699,92.812,92.606,88.677,88.775,NOV,fall,
1992NOV20,20/11/92,1992,89.694,88.601,89.134,89.734,90.812,NOV,fall,
1992NOV21,21/11/92,1992,88.493,89.215,88.751,89.267,89.516,NOV,fall,
1992NOV22,22/11/92,1992,87.901,87.671,92.997,88.97,89.152,NOV,fall,
1992NOV23,23/11/92,1992,87.814,87.126,93.055,88.986,89.47,NOV,fall,
1992NOV24,24/11/92,1992,87.13,92.994,92.845,88.946,89.477,NOV,fall,
1992NOV25,25/11/92,1992,87.175,92.951,92.817,88.979,89.275,NOV,fall,
1992NOV26,26/11/92,1992,87.623,92.72,92.761,89.328,90.045,NOV,fall,
1992NOV27,27/11/92,1992,90.499,89.745,89.916,91.078,91.282,NOV,fall,
1992NOV28,28/11/92,1992,90.173,89.823,90.119,90.147,89.734,NOV,fall,
1992NOV29,29/11/92,1992,89.489,89.437,89.765,88.817,88.986,NOV,fall,
1992NOV30,30/11/92,1992,88.851,89.197,90.785,89.835,90.855,NOV,fall,
1992DEC01,1/12/92,1992,88.801,89.795,92.356,91.05,91.417,DEC,winter,
1992DEC02,2/12/92,1992,88.936,89.35,89.545,90.805,91.195,DEC,winter,
1992DEC03,3/12/92,1992,88.695,89.24,89.505,89.017,89.678,DEC,winter,
1992DEC04,4/12/92,1992,87.659,92.918,92.953,88.915,89.269,DEC,winter,
1992DEC05,5/12/92,1992,90.201,89.664,89.942,90.188,90.948,DEC,winter,
1992DEC06,6/12/92,1992,90.355,89.642,89.853,89.111,88.837,DEC,winter,
1992DEC07,7/12/92,1992,89.412,89.774,89.957,88.925,89.179,DEC,winter,
1992DEC08,8/12/92,1992,88.031,90.507,92.869,89.312,90.245,DEC,winter,
1992DEC09,9/12/92,1992,88.232,92.773,93.063,88.811,88.655,DEC,winter,
1992DEC10,10/12/92,1992,90.468,89.557,89.555,90.843,91.369,DEC,winter,
1992DEC11,11/12/92,1992,89.612,89.432,89.665,88.856,87.681,DEC,winter,
1992DEC12,12/12/92,1992,90.22,87.491,89.9,88.733,88.606,DEC,winter,
1992DEC13,13/12/92,1992,89.346,87.522,92.729,89.612,92.111,DEC,winter,
1992DEC14,14/12/92,1992,88.322,87.691,87.172,89.073,87.487,DEC,winter,
1992DEC15,15/12/92,1992,87.765,92.61,92.709,88.384,88.116,DEC,winter,
1992DEC16,16/12/92,1992,87.41,92.578,92.598,88.333,88.244,DEC,winter,
1992DEC17,17/12/92,1992,87.832,92.58,92.58,92.111,92.645,DEC,winter,
1992DEC18,18/12/92,1992,92.956,92.411,92.356,91.802,92.184,DEC,winter,
1992DEC19,19/12/92,1992,90.256,89.889,90.035,91.571,91.373,DEC,winter,
1992DEC20,20/12/92,1992,89.122,89.57,89.735,90.785,88.954,DEC,winter,
1992DEC21,21/12/92,1992,87.987,93.076,92.941,88.429,88.478,DEC,winter,
1992DEC22,22/12/92,1992,87.577,88.455,88.674,88.039,87.977,DEC,winter,
1992DEC23,23/12/92,1992,91.024,89.92,90.15,91.969,92.519,DEC,winter,
1992DEC24,24/12/92,1992,89.848,89.786,89.941,92.196,86.969,DEC,winter,
1992DEC25,25/12/92,1992,89.104,89.755,89.692,88.244,88.456,DEC,winter,
1992DEC26,26/12/92,1992,89.049,92.063,92.159,88.477,88.568,DEC,winter,
1992DEC27,27/12/92,1992,89.536,92.461,92.414,89.186,89.006,DEC,winter,
1992DEC28,28/12/92,1992,88.624,92.702,92.672,88.627,88.81,DEC,winter,
1992DEC29,29/12/92,1992,89.879,92.696,92.05,88.378,88.858,DEC,winter,
1992DEC30,30/12/92,1992,89.895,88.959,89.784,88.442,88.704,DEC,winter,
1992DEC31,31/12/92,1992,90.303,89.575,89.798,88.543,88.927,DEC,winter,
1993JAN01,1/1/93,1993,89.648,89.633,89.815,88.659,88.857,JAN,winter,1
1993JAN02,2/1/93,1993,89.98,89.656,89.787,88.628,88.724,JAN,winter,2
1993JAN03,3/1/93,1993,89.441,89.7,89.876,89.031,89.714,JAN,winter,3
1993JAN04,4/1/93,1993,91.93,92.464,92.193,88.583,88.664,JAN,winter,4
1993JAN05,5/1/93,1993,89.007,92.734,92.461,88.5,88.569,JAN,winter,5
1993JAN06,6/1/93,1993,88.52,92.471,92.052,87.18,92.159,JAN,winter,6
1993JAN07,7/1/93,1993,88.504,92.593,92.475,91.607,91.425,JAN,winter,7
1993JAN08,8/1/93,1993,88.343,92.593,92.639,88.866,89.023,JAN,winter,8
1993JAN09,9/1/93,1993,91.514,88.33,89.365,88.729,88.747,JAN,winter,9
1993JAN10,10/1/93,1993,90.476,89.655,89.884,90.709,89.058,JAN,winter,10
1993JAN11,11/1/93,1993,89.114,89.683,90.453,88.407,88.519,JAN,winter,11
1993JAN12,12/1/93,1993,88.97,89.001,91.36,88.35,88.536,JAN,winter,12
1993JAN13,13/1/93,1993,88.294,92.463,92.322,92.024,92.081,JAN,winter,13
