Time,date,Year,Delma,RasGhanada,Saadiyat,AlAqah,Dibba,month,season,yearday
1992OCT02,2/10/92,1992,0.02,0.045,0.025,0.071,0.086,OCT,fall,
1992OCT03,3/10/92,1992,0.037,0.065,0.073,0.106,0.122,OCT,fall,
1992OCT04,4/10/92,1992,0.13,0.168,0.145,0.099,0.109,OCT,fall,
1992OCT05,5/10/92,1992,0.081,0.114,0.141,0.073,0.073,OCT,fall,
1992OCT06,6/10/92,1992,0.062,0.057,0.104,0.129,0.121,OCT,fall,
1992OCT07,7/10/92,1992,0.036,0.042,0.079,0.119,0.111,OCT,fall,
1992OCT08,8/10/92,1992,0.076,0.053,0.109,0.036,0.063,OCT,fall,
1992OCT09,9/10/92,1992,0.091,0.158,0.16,0.117,0.093,OCT,fall,
1992OCT10,10/10/92,1992,0.074,0.129,0.152,0.125,0.094,OCT,fall,
1992OCT11,11/10/92,1992,0.055,0.062,0.096,0.104,0.067,OCT,fall,
1992OCT12,12/10/92,1992,0.036,0.055,0.03,0.156,0.116,OCT,fall,
1992OCT13,13/10/92,1992,0.015,0.047,0.016,0.138,0.102,OCT,fall,
1992OCT14,14/10/92,1992,0.067,0.148,0.1,0.104,0.07,OCT,fall,
1992OCT15,15/10/92,1992,0.039,0.133,0.077,0.106,0.068,OCT,fall,
1992OCT16,16/10/92,1992,0.012,0.065,0.015,0.101,0.08,OCT,fall,
1992OCT17,17/10/92,1992,0.017,0.063,0.01,0.122,0.098,OCT,fall,
1992OCT18,18/10/92,1992,0.054,0.026,0.051,0.06,0.042,OCT,fall,
1992OCT19,19/10/92,1992,0.052,0.066,0.068,0.08,0.068,OCT,fall,
1992OCT20,20/10/92,1992,0.064,0.084,0.082,0.067,0.046,OCT,fall,
1992OCT21,21/10/92,1992,0.052,0.008,0.037,0.103,0.089,OCT,fall,
1992OCT22,22/10/92,1992,0.057,0.084,0.072,0.138,0.115,OCT,fall,
1992OCT23,23/10/92,1992,0.061,0.115,0.094,0.128,0.101,OCT,fall,
