year,site,colony,track,sample,calc,extension,density,hdbands,partmort,height,diameter
2013,del,del01,t1,del01_t1,0.36,0.3128,1.151889664,0,0,7,15
2012,del,del01,t1,del01_t1,0.718,0.6357,1.129101849,0,0,7,15
2011,del,del01,t1,del01_t1,0.675,0.6306,1.070141312,0,0,7,15
2010,del,del01,t1,del01_t1,0.409,0.3431,1.191558205,0,0,7,15
2009,del,del01,t1,del01_t1,0.861,0.7618,1.130322313,0,0,7,15
2008,del,del01,t1,del01_t1,0.752,0.6256,1.202736412,0,0,7,15
2007,del,del01,t1,del01_t1,1.02,0.7922,1.287739061,0,0,7,15
2006,del,del01,t1,del01_t1,0.655,0.4692,1.396265107,0,0,7,15
2005,del,del01,t1,del01_t1,0.738,0.5549,1.329869247,0,0,7,15
2004,del,del01,t1,del01_t1,0.331,0.217,1.524719638,0,0,7,15
2013,del,del07,t1,del07_t1,1.647,0.935,1.761907177,0,0,10,19
2012,del,del07,t1,del07_t1,1.134,0.56,2.024386741,1,0,10,19
2011,del,del07,t1,del07_t1,1.237,0.72,1.718248528,0,0,10,19
2010,del,del07,t1,del07_t1,1.15,0.65,1.769442916,1,0,10,19
2009,del,del07,t1,del07_t1,1.129,0.775,1.457286693,0,0,10,19
2008,del,del07,t1,del07_t1,0.88,0.615,1.430751348,0,0,10,19
2007,del,del07,t1,del07_t1,1.078,0.87,1.238531556,0,0,10,19
2006,del,del07,t1,del07_t1,0.668,0.495,1.350267151,0,0,10,19
2005,del,del07,t1,del07_t1,0.985,0.855,1.151589957,0,0,10,19
2004,del,del07,t1,del07_t1,0.756,0.575,1.315483946,0,0,10,19
2013,del,del08,t1,del08_t1,0.869,0.9233,0.941128472,0,0,8,16
2012,del,del08,t1,del08_t1,0.837,0.787,1.063275322,0,0,8,16
2011,del,del08,t1,del08_t1,0.865,0.8426,1.026959586,0,0,8,16
2010,del,del08,t1,del08_t1,0.885,0.9283,0.953611869,0,0,8,16
2009,del,del08,t1,del08_t1,1.042,1.0393,1.002800682,0,0,8,16
2008,del,del08,t1,del08_t1,1.184,1.0898,1.086620208,0,0,8,16
2013,del,del09,t1,del09_t1,1.257,0.7215,1.742210906,0,0,6,15
2012,del,del09,t1,del09_t1,0.514,0.2724,1.886664739,0,0,6,15
2011,del,del09,t1,del09_t1,0.373,0.2119,1.760047078,0,0,6,15
2010,del,del09,t1,del09_t1,0.636,0.4238,1.499999217,0,0,6,15
2009,del,del09,t1,del09_t1,0.529,0.333,1.588965515,0,0,6,15
2008,del,del09,t1,del09_t1,0.583,0.3633,1.604755056,0,0,6,15
2007,del,del09,t1,del09_t1,0.641,0.4238,1.512800213,0,0,6,15
2006,del,del09,t1,del09_t1,0.825,0.6306,1.308775937,0,0,6,15
2005,del,del09,t1,del09_t1,0.821,0.6559,1.252166405,0,0,6,15
2004,del,del09,t1,del09_t1,0.561,0.4692,1.195815828,0,0,6,15
2003,del,del09,t1,del09_t1,0.465,0.3734,1.245684738,0,0,6,15
2013,del,del12,t1,del12_t1,1.128,0.7871,1.43343696,0,0,12,20
2012,del,del12,t1,del12_t1,1.069,0.8072,1.324481987,0,0,12,20
2011,del,del12,t1,del12_t1,1.368,1.1453,1.194347517,0,0,12,20
2010,del,del12,t1,del12_t1,1.308,1.0747,1.217275307,0,0,12,20
2009,del,del12,t1,del12_t1,1.039,0.7971,1.303957397,0,0,12,20
2008,del,del12,t1,del12_t1,0.888,0.7063,1.25728403,0,0,12,20
2007,del,del12,t1,del12_t1,0.66,0.6256,1.055594198,0,0,12,20
2006,del,del12,t1,del12_t1,0.541,0.4642,1.164679787,0,0,12,20
2005,del,del12,t1,del12_t1,0.757,0.6307,1.200004638,0,0,12,20
2004,del,del12,t1,del12_t1,0.932,0.7164,1.30139603,0,0,12,20
2013,del,del20,t1,del20_t1,0.609,0.5247,1.160647772,0,0,9,14
2012,del,del20,t1,del20_t1,0.534,0.4389,1.215600465,0,0,9,14
2011,del,del20,t1,del20_t1,0.861,0.7164,1.202193941,0,0,9,14
2010,del,del20,t1,del20_t1,0.338,0.2523,1.338031811,0,0,9,14
2009,del,del20,t1,del20_t1,0.772,0.6458,1.194826954,0,0,9,14
2008,del,del20,t1,del20_t1,0.806,0.6609,1.21969911,0,0,9,14
2007,del,del20,t1,del20_t1,1.13,0.9586,1.178584408,0,0,9,14
2006,del,del20,t1,del20_t1,0.702,0.666,1.053891014,0,0,9,14
2005,del,del20,t1,del20_t1,0.64,0.6559,0.975897489,0,0,9,14
2004,del,del20,t1,del20_t1,0.635,0.5549,1.14467069,0,0,9,14
2003,del,del20,t1,del20_t1,1.336,1.1352,1.176751063,0,0,9,14
2002,del,del20,t1,del20_t1,0.594,0.4591,1.29466899,0,0,9,14
2013,ras,ras04,t1,ras04_t1,0.352,0.2422,1.454222936,0,0,7.5,14
2012,ras,ras04,t1,ras04_t1,0.573,0.3582,1.59884764,0,0,7.5,14
2011,ras,ras04,t1,ras04_t1,0.642,0.4288,1.497053722,0,0,7.5,14
2010,ras,ras04,t1,ras04_t1,0.599,0.444,1.350080689,0,0,7.5,14
2009,ras,ras04,t1,ras04_t1,0.585,0.444,1.316818455,0,0,7.5,14
2008,ras,ras04,t1,ras04_t1,0.604,0.444,1.360763025,0,0,7.5,14
2007,ras,ras04,t1,ras04_t1,0.621,0.4843,1.282584481,0,0,7.5,14
2006,ras,ras04,t1,ras04_t1,0.671,0.5146,1.304615111,0,0,7.5,14
2005,ras,ras04,t1,ras04_t1,0.745,0.5701,1.30696491,0,0,7.5,14
2004,ras,ras04,t1,ras04_t1,0.701,0.4592,1.527008908,0,0,7.5,14
2003,ras,ras04,t1,ras04_t1,0.495,0.338,1.464523537,0,0,7.5,14
2002,ras,ras04,t1,ras04_t1,0.579,0.4036,1.433689952,0,0,7.5,14
2001,ras,ras04,t1,ras04_t1,0.307,0.217,1.413124168,0,0,7.5,14
2000,ras,ras04,t1,ras04_t1,0.7,0.4742,1.476630503,0,0,7.5,14
1999,ras,ras04,t1,ras04_t1,0.708,0.3683,1.921357887,0,0,7.5,14
2013,ras,ras07,t1,ras07_t1,0.468,0.5146,0.908472628,0,0,4,11
2012,ras,ras07,t1,ras07_t1,0.54,0.5146,1.050146214,0,0,4,11
2011,ras,ras07,t1,ras07_t1,0.367,0.3279,1.120293377,0,0,4,11
2010,ras,ras07,t1,ras07_t1,0.424,0.3179,1.333943005,0,0,4,11
