colony,firstyear,last year,minage,height,diameter
ala01,2005,2013,8,7,23
ala02,2010,2013,3,6,11
ala08,2005,2013,8,8,15
ala10,2002,2013,11,8.5,18
ala12,1998,2013,15,13.5,23
ala14,2010,2013,3,6,16
ala21,2008,2013,5,5,14
del01,2004,2013,9,7,15
del07,2004,2013,9,10,19
del08,2005,2013,8,8,16
del09,2003,2013,10,6,15
del12,2004,2013,9,12,20
del20,2002,2013,11,9,14
dib01,1996,2013,17,15,20
dib02,2003,2013,10,7,
dib03,2005,2013,8,8,24
dib04,1999,2013,14,14,28
dib06,2004,2013,9,8.5,21
dib08,2004,2013,9,7,23
dib15,2008,2013,5,6,14
dib16,2008,2013,5,7,22
ras04,1999,2013,14,7.5,14
ras07,2006,2013,7,4,11
ras09,2006,2013,7,5,18
ras11,2001,2013,12,11,14
ras12,1994,2013,19,12,16
ras13,2002,2013,11,8.5,23
ras15,2004,2013,9,6,14
ras16,2003,2013,10,7,15
ras21,2003,2013,10,8.5,24
sad05,1997,2013,16,11,18
sad07,2002,2013,11,10,17
sad08,2001,2013,12,11,16
sad12,2000,2013,13,9,16
sad13,2002,2013,11,5,15
sad14,2010,2013,3,4,14
sad15,1997,2013,16,14,22
sad22,2004,2013,9,7,15
