"","date","date1","yearday","Year","month","season","Site","MA","raw","year","raw_min","raw_max"
"1","1985SEP13",1985-09-13,256,1985,"SEP","fall","Delma",34.1629507667513,35.72,1985,0,1
"2","1985SEP14",1985-09-14,257,1985,"SEP","fall","Delma",34.4932239978512,35.02,1985,0,1
"3","1985SEP15",1985-09-15,258,1985,"SEP","fall","Delma",34.6554607981377,34.44,1985,0,1
"4","1985SEP16",1985-09-16,259,1985,"SEP","fall","Delma",34.8607326917193,34.6,1985,0,1
"5","1985SEP17",1985-09-17,260,1985,"SEP","fall","Delma",34.9733016661567,34.43,1985,0,1
"6","1985SEP18",1985-09-18,261,1985,"SEP","fall","Delma",34.9108614440025,34.07,1985,0,1
"7","1985SEP19",1985-09-19,262,1985,"SEP","fall","Delma",34.5580799181355,33.27,1985,0,1
"8","1985SEP20",1985-09-20,263,1985,"SEP","fall","Delma",33.9643359290508,32.66,1985,0,1
"9","1985SEP21",1985-09-21,264,1985,"SEP","fall","Delma",33.4130911385107,32.6,1985,0,1
"10","1985SEP22",1985-09-22,265,1985,"SEP","fall","Delma",33.0553456533759,32.73,1985,0,1
"11","1985SEP23",1985-09-23,266,1985,"SEP","fall","Delma",32.8319662329258,32.95,1985,0,1
"12","1985SEP24",1985-09-24,267,1985,"SEP","fall","Delma",32.6257040685357,32.9,1985,0,1
"13","1985SEP25",1985-09-25,268,1985,"SEP","fall","Delma",32.5276101927309,33.07,1985,0,1
"14","1985SEP26",1985-09-26,269,1985,"SEP","fall","Delma",32.6985955003668,33.74,1985,0,1
"15","1985SEP27",1985-09-27,270,1985,"SEP","fall","Delma",33.1247827669846,34.43,1985,0,1
"16","1985SEP28",1985-09-28,271,1985,"SEP","fall","Delma",33.3948117313866,33.89,1985,0,1
"17","1985SEP29",1985-09-29,272,1985,"SEP","fall","Delma",33.4241701672017,33.14,1985,0,1
"18","1985SEP30",1985-09-30,273,1985,"SEP","fall","Delma",33.3169474782415,32.73,1985,0,1
"19","1985OCT01",1985-10-01,274,1985,"OCT","fall","Delma",33.212687814476,32.73,1985,0,1
"20","1985OCT02",1985-10-02,275,1985,"OCT","fall","Delma",33.1196627725458,32.75,1985,0,1
"21","1985OCT03",1985-10-03,276,1985,"OCT","fall","Delma",32.9697077362064,32.7,1985,0,1
"22","1985OCT04",1985-10-04,277,1985,"OCT","fall","Delma",32.6797467047122,32.44,1985,0,1
"23","1985OCT05",1985-10-05,278,1985,"OCT","fall","Delma",32.3251138107506,32.09,1985,0,1
"24","1985OCT06",1985-10-06,279,1985,"OCT","fall","Delma",32.0184319693172,31.77,1985,0,1
"25","1985OCT07",1985-10-07,280,1985,"OCT","fall","Delma",31.7819743734082,31.59,1985,0,1
"26","1985OCT08",1985-10-08,281,1985,"OCT","fall","Delma",31.5030444569538,31.21,1985,0,1
"27","1985OCT09",1985-10-09,282,1985,"OCT","fall","Delma",31.0573051960266,30.45,1985,0,1
"28","1985OCT10",1985-10-10,283,1985,"OCT","fall","Delma",30.6729978365564,30.45,1985,0,1
"29","1985OCT11",1985-10-11,284,1985,"OCT","fall","Delma",30.4085981250156,30.63,1985,0,1
"30","1985OCT12",1985-10-12,285,1985,"OCT","fall","Delma",30.3001183750135,30.93,1985,0,1
"31","1985OCT13",1985-10-13,286,1985,"OCT","fall","Delma",30.2134359250117,30.79,1985,0,1
"32","1985OCT14",1985-10-14,287,1985,"OCT","fall","Delma",30.2676444683435,31.15,1985,0,1
"33","1985OCT15",1985-10-15,288,1985,"OCT","fall","Delma",30.4106252058977,31.37,1985,0,1
"34","1985OCT16",1985-10-16,289,1985,"OCT","fall","Delma",30.613208511778,31.38,1985,0,1
"35","1985OCT17",1985-10-17,290,1985,"OCT","fall","Delma",30.7061140435409,30.88,1985,0,1
"36","1985OCT18",1985-10-18,291,1985,"OCT","fall","Delma",30.7106321710688,30.64,1985,0,1
"37","1985OCT19",1985-10-19,292,1985,"OCT","fall","Delma",30.5518812149263,30.15,1985,0,1
"38","1985OCT20",1985-10-20,293,1985,"OCT","fall","Delma",30.4196303862694,30.21,1985,0,1
"39","1985OCT21",1985-10-21,294,1985,"OCT","fall","Delma",30.3090130014335,30.28,1985,0,1
"40","1985OCT22",1985-10-22,295,1985,"OCT","fall","Delma",30.2704779345757,30.64,1985,0,1
"41","1985OCT23",1985-10-23,296,1985,"OCT","fall","Delma",30.2084142099656,30.59,1985,0,1
"42","1985OCT24",1985-10-24,297,1985,"OCT","fall","Delma",30.0406256486369,30.04,1985,0,1
"43","1985OCT25",1985-10-25,298,1985,"OCT","fall","Delma",29.8752088954853,29.78,1985,0,1
"44","1985OCT26",1985-10-26,299,1985,"OCT","fall","Delma",29.8045143760873,29.87,1985,0,1
"45","1985OCT27",1985-10-27,300,1985,"OCT","fall","Delma",29.721245792609,29.68,1985,0,1
"46","1985OCT28",1985-10-28,301,1985,"OCT","fall","Delma",29.5764130202611,29.44,1985,0,1
"47","1985OCT29",1985-10-29,302,1985,"OCT","fall","Delma",29.3208912842263,29.06,1985,0,1
"48","1985OCT30",1985-10-30,303,1985,"OCT","fall","Delma",29.0281057796628,28.87,1985,0,1
"49","1985OCT31",1985-10-31,304,1985,"OCT","fall","Delma",28.7796916757077,28.74,1985,0,1
"50","1985NOV01",1985-11-01,305,1985,"NOV","fall","Delma",28.57039945228,28.56,1985,0,1
"51","1985NOV02",1985-11-02,306,1985,"NOV","fall","Delma",28.3816795253094,28.49,1985,0,1
"52","1985NOV03",1985-11-03,307,1985,"NOV","fall","Delma",28.2061222552681,28.42,1985,0,1
"53","1985NOV04",1985-11-04,308,1985,"NOV","fall","Delma",28.074639287899,28.39,1985,0,1
"54","1985NOV05",1985-11-05,309,1985,"NOV","fall","Delma",28.0366873828458,28.52,1985,0,1
"55","1985NOV06",1985-11-06,310,1985,"NOV","fall","Delma",27.9804623984664,28.29,1985,0,1
