"","date","date1","yearday","Year","month","season","Site","MA","raw","year","raw_min","raw_max"
"1","1985MAR08",1985-03-08,67,1985,"MAR","spring","Delma",18.5980649661767,18.78,1985,1,0
"2","1985MAR09",1985-03-09,68,1985,"MAR","spring","Delma",18.5509896373532,18.79,1985,1,0
"3","1985MAR10",1985-03-10,69,1985,"MAR","spring","Delma",18.5428576857061,18.87,1985,1,0
"4","1985MAR11",1985-03-11,70,1985,"MAR","spring","Delma",18.5704766609453,18.98,1985,1,0
"5","1985MAR12",1985-03-12,71,1985,"MAR","spring","Delma",18.6037464394859,18.89,1985,1,0
"6","1985MAR13",1985-03-13,72,1985,"MAR","spring","Delma",18.6799135808878,19.05,1985,1,0
"7","1985MAR14",1985-03-14,73,1985,"MAR","spring","Delma",18.8659251034361,19.48,1985,1,0
"8","1985MAR15",1985-03-15,74,1985,"MAR","spring","Delma",19.1958017563113,20.07,1985,1,0
"9","1985MAR16",1985-03-16,75,1985,"MAR","spring","Delma",19.6276948554698,20.61,1985,1,0
"10","1985MAR17",1985-03-17,76,1985,"MAR","spring","Delma",19.9986688747405,20.62,1985,1,0
"11","1985MAR18",1985-03-18,77,1985,"MAR","spring","Delma",20.3048463581084,20.61,1985,1,0
"12","1985MAR19",1985-03-19,78,1985,"MAR","spring","Delma",20.5982001770273,20.72,1985,1,0
"13","1985MAR20",1985-03-20,79,1985,"MAR","spring","Delma",20.799773486757,20.54,1985,1,0
"14","1985MAR21",1985-03-21,80,1985,"MAR","spring","Delma",20.9884703551894,20.74,1985,1,0
"15","1985MAR22",1985-03-22,81,1985,"MAR","spring","Delma",21.2946743078308,21.53,1985,1,0
"16","1985MAR23",1985-03-23,82,1985,"MAR","spring","Delma",21.5487177334534,21.77,1985,1,0
"17","1985MAR24",1985-03-24,83,1985,"MAR","spring","Delma",21.6948887023262,21.63,1985,1,0
"18","1985MAR25",1985-03-25,84,1985,"MAR","spring","Delma",21.7922368753494,21.52,1985,1,0
"19","1985MAR26",1985-03-26,85,1985,"MAR","spring","Delma",21.8459386253028,21.43,1985,1,0
"20","1985MAR27",1985-03-27,86,1985,"MAR","spring","Delma",21.8438134752625,21.23,1985,1,0
"21","1985MAR28",1985-03-28,87,1985,"MAR","spring","Delma",21.8326383452275,21.2,1985,1,0
"22","1985MAR29",1985-03-29,88,1985,"MAR","spring","Delma",21.7649532325305,21.23,1985,1,0
"23","1985MAR30",1985-03-30,89,1985,"MAR","spring","Delma",21.8029594681931,21.85,1985,1,0
"24","1985MAR31",1985-03-31,90,1985,"MAR","spring","Delma",21.6958982057673,21.35,1985,1,0
"25","1985APR01",1985-04-01,91,1985,"APR","spring","Delma",21.7077784449984,21.68,1985,1,0
"26","1985APR02",1985-04-02,92,1985,"APR","spring","Delma",21.8967413189986,22.3,1985,1,0
"27","1985APR03",1985-04-03,93,1985,"APR","spring","Delma",22.2318424764654,22.87,1985,1,0
"28","1985APR04",1985-04-04,94,1985,"APR","spring","Delma",22.5562634796034,22.94,1985,1,0
"29","1985APR05",1985-04-05,95,1985,"APR","spring","Delma",22.9227616823229,23.26,1985,1,0
"30","1985APR06",1985-04-06,96,1985,"APR","spring","Delma",23.1383934580132,23.04,1985,1,0
"31","1985APR07",1985-04-07,97,1985,"APR","spring","Delma",23.2372743302781,22.74,1985,1,0
"32","1985APR08",1985-04-08,98,1985,"APR","spring","Delma",23.336971086241,22.75,1985,1,0
"33","1985APR09",1985-04-09,99,1985,"APR","spring","Delma",23.4160416080756,22.96,1985,1,0
"34","1985APR10",1985-04-10,100,1985,"APR","spring","Delma",23.4319027269988,23.06,1985,1,0
"35","1985APR11",1985-04-11,101,1985,"APR","spring","Delma",23.290982363399,22.64,1985,1,0
"36","1985APR12",1985-04-12,102,1985,"APR","spring","Delma",23.1615180482791,22.71,1985,1,0
"37","1985APR13",1985-04-13,103,1985,"APR","spring","Delma",23.2479823085086,23.48,1985,1,0
"38","1985APR14",1985-04-14,104,1985,"APR","spring","Delma",23.3762513340408,23.55,1985,1,0
"39","1985APR15",1985-04-15,105,1985,"APR","spring","Delma",23.4747511561687,23.43,1985,1,0
"40","1985APR16",1985-04-16,106,1985,"APR","spring","Delma",23.4921176686795,23.23,1985,1,0
"41","1985APR17",1985-04-17,107,1985,"APR","spring","Delma",23.6225019795222,23.74,1985,1,0
"42","1985APR18",1985-04-18,108,1985,"APR","spring","Delma",23.7675017155859,23.78,1985,1,0
"43","1985APR19",1985-04-19,109,1985,"APR","spring","Delma",24.1005014868411,24.47,1985,1,0
"44","1985APR20",1985-04-20,110,1985,"APR","spring","Delma",24.4611012885957,24.95,1985,1,0
"45","1985APR21",1985-04-21,111,1985,"APR","spring","Delma",24.6216211167829,24.59,1985,1,0
"46","1985APR22",1985-04-22,112,1985,"APR","spring","Delma",24.7907383012119,24.69,1985,1,0
"47","1985APR23",1985-04-23,113,1985,"APR","spring","Delma",25.0253065277169,24.94,1985,1,0
"48","1985APR24",1985-04-24,114,1985,"APR","spring","Delma",25.1732656573547,24.81,1985,1,0
"49","1985APR25",1985-04-25,115,1985,"APR","spring","Delma",25.2994969030407,24.94,1985,1,0
"50","1985APR26",1985-04-26,116,1985,"APR","spring","Delma",25.3895639826353,25.05,1985,1,0
"51","1985APR27",1985-04-27,117,1985,"APR","spring","Delma",25.2482887849506,24.52,1985,1,0
"52","1985APR28",1985-04-28,118,1985,"APR","spring","Delma",25.2965169469572,25.19,1985,1,0
"53","1985APR29",1985-04-29,119,1985,"APR","spring","Delma",25.4063146873629,25.38,1985,1,0
"54","1985APR30",1985-04-30,120,1985,"APR","spring","Delma",25.5821393957145,25.77,1985,1,0
"55","1985MAY01",1985-05-01,121,1985,"MAY","spring","Delma",25.7531874762859,25.87,1985,1,0
"56","1985MAY02",1985-05-02,122,1985,"MAY","spring","Delma",25.9067624794478,25.89,1985,1,0
"57","1985MAY03",1985-05-03,123,1985,"MAY","spring","Delma",25.9785274821881,25.72,1985,1,0
"58","1985MAY04",1985-05-04,124,1985,"MAY","spring","Delma",26.1460571512297,26.01,1985,1,0
"59","1985MAY05",1985-05-05,125,1985,"MAY","spring","Delma",26.3112495310657,26.12,1985,1,0
"60","1985MAY06",1985-05-06,126,1985,"MAY","spring","Delma",26.4477495935903,26.31,1985,1,0
"61","1985MAY07",1985-05-07,127,1985,"MAY","spring","Delma",26.6313829811116,26.7,1985,1,0
"62","1985MAY08",1985-05-08,128,1985,"MAY","spring","Delma",27.0058652502967,27.63,1985,1,0
"63","1985MAY09",1985-05-09,129,1985,"MAY","spring","Delma",27.3037498835905,27.56,1985,1,0
"64","1985MAY10",1985-05-10,130,1985,"MAY","spring","Delma",27.5159165657784,27.35,1985,1,0
"65","1985MAY11",1985-05-11,131,1985,"MAY","spring","Delma",27.7904610236746,27.72,1985,1,0
"66","1985MAY12",1985-05-12,132,1985,"MAY","spring","Delma",27.9057328871847,27.36,1985,1,0
"67","1985MAY13",1985-05-13,133,1985,"MAY","spring","Delma",28.0309685022267,27.53,1985,1,0
