,date,date1,yearday,Year,month,season,Site,MA,raw,year,raw_min,raw_max,normday
1,1985MAR08,8/3/85,67,1985,MAR,spring,Delma,18.59806497,18.78,1985,1,0,1
2,1985MAR09,9/3/85,68,1985,MAR,spring,Delma,18.55098964,18.79,1985,1,0,2
3,1985MAR10,10/3/85,69,1985,MAR,spring,Delma,18.54285769,18.87,1985,1,0,3
4,1985MAR11,11/3/85,70,1985,MAR,spring,Delma,18.57047666,18.98,1985,1,0,4
5,1985MAR12,12/3/85,71,1985,MAR,spring,Delma,18.60374644,18.89,1985,1,0,5
6,1985MAR13,13/3/85,72,1985,MAR,spring,Delma,18.67991358,19.05,1985,1,0,6
7,1985MAR14,14/3/85,73,1985,MAR,spring,Delma,18.8659251,19.48,1985,1,0,7
8,1985MAR15,15/3/85,74,1985,MAR,spring,Delma,19.19580176,20.07,1985,1,0,8
9,1985MAR16,16/3/85,75,1985,MAR,spring,Delma,19.62769486,20.61,1985,1,0,9
10,1985MAR17,17/3/85,76,1985,MAR,spring,Delma,19.99866887,20.62,1985,1,0,10
11,1985MAR18,18/3/85,77,1985,MAR,spring,Delma,20.30484636,20.61,1985,1,0,11
12,1985MAR19,19/3/85,78,1985,MAR,spring,Delma,20.59820018,20.72,1985,1,0,12
13,1985MAR20,20/3/85,79,1985,MAR,spring,Delma,20.79977349,20.54,1985,1,0,13
14,1985MAR21,21/3/85,80,1985,MAR,spring,Delma,20.98847036,20.74,1985,1,0,14
15,1985MAR22,22/3/85,81,1985,MAR,spring,Delma,21.29467431,21.53,1985,1,0,15
16,1985MAR23,23/3/85,82,1985,MAR,spring,Delma,21.54871773,21.77,1985,1,0,16
17,1985MAR24,24/3/85,83,1985,MAR,spring,Delma,21.6948887,21.63,1985,1,0,17
18,1985MAR25,25/3/85,84,1985,MAR,spring,Delma,21.79223688,21.52,1985,1,0,18
19,1985MAR26,26/3/85,85,1985,MAR,spring,Delma,21.84593863,21.43,1985,1,0,19
20,1985MAR27,27/3/85,86,1985,MAR,spring,Delma,21.84381348,21.23,1985,1,0,20
21,1985MAR28,28/3/85,87,1985,MAR,spring,Delma,21.83263835,21.2,1985,1,0,21
22,1985MAR29,29/3/85,88,1985,MAR,spring,Delma,21.76495323,21.23,1985,1,0,22
23,1985MAR30,30/3/85,89,1985,MAR,spring,Delma,21.80295947,21.85,1985,1,0,23
24,1985MAR31,31/3/85,90,1985,MAR,spring,Delma,21.69589821,21.35,1985,1,0,24
25,1985APR01,1/4/85,91,1985,APR,spring,Delma,21.70777844,21.68,1985,1,0,25
26,1985APR02,2/4/85,92,1985,APR,spring,Delma,21.89674132,22.3,1985,1,0,26
27,1985APR03,3/4/85,93,1985,APR,spring,Delma,22.23184248,22.87,1985,1,0,27
28,1985APR04,4/4/85,94,1985,APR,spring,Delma,22.55626348,22.94,1985,1,0,28
29,1985APR05,5/4/85,95,1985,APR,spring,Delma,22.92276168,23.26,1985,1,0,29
30,1985APR06,6/4/85,96,1985,APR,spring,Delma,23.13839346,23.04,1985,1,0,30
31,1985APR07,7/4/85,97,1985,APR,spring,Delma,23.23727433,22.74,1985,1,0,31
32,1985APR08,8/4/85,98,1985,APR,spring,Delma,23.33697109,22.75,1985,1,0,32
33,1985APR09,9/4/85,99,1985,APR,spring,Delma,23.41604161,22.96,1985,1,0,33
34,1985APR10,10/4/85,100,1985,APR,spring,Delma,23.43190273,23.06,1985,1,0,34
35,1985APR11,11/4/85,101,1985,APR,spring,Delma,23.29098236,22.64,1985,1,0,35
36,1985APR12,12/4/85,102,1985,APR,spring,Delma,23.16151805,22.71,1985,1,0,36
37,1985APR13,13/4/85,103,1985,APR,spring,Delma,23.24798231,23.48,1985,1,0,37
38,1985APR14,14/4/85,104,1985,APR,spring,Delma,23.37625133,23.55,1985,1,0,38
39,1985APR15,15/4/85,105,1985,APR,spring,Delma,23.47475116,23.43,1985,1,0,39
40,1985APR16,16/4/85,106,1985,APR,spring,Delma,23.49211767,23.23,1985,1,0,40
41,1985APR17,17/4/85,107,1985,APR,spring,Delma,23.62250198,23.74,1985,1,0,41
42,1985APR18,18/4/85,108,1985,APR,spring,Delma,23.76750172,23.78,1985,1,0,42
43,1985APR19,19/4/85,109,1985,APR,spring,Delma,24.10050149,24.47,1985,1,0,43
44,1985APR20,20/4/85,110,1985,APR,spring,Delma,24.46110129,24.95,1985,1,0,44
45,1985APR21,21/4/85,111,1985,APR,spring,Delma,24.62162112,24.59,1985,1,0,45
46,1985APR22,22/4/85,112,1985,APR,spring,Delma,24.7907383,24.69,1985,1,0,46
47,1985APR23,23/4/85,113,1985,APR,spring,Delma,25.02530653,24.94,1985,1,0,47
48,1985APR24,24/4/85,114,1985,APR,spring,Delma,25.17326566,24.81,1985,1,0,48
49,1985APR25,25/4/85,115,1985,APR,spring,Delma,25.2994969,24.94,1985,1,0,49
50,1985APR26,26/4/85,116,1985,APR,spring,Delma,25.38956398,25.05,1985,1,0,50
51,1985APR27,27/4/85,117,1985,APR,spring,Delma,25.24828878,24.52,1985,1,0,51
52,1985APR28,28/4/85,118,1985,APR,spring,Delma,25.29651695,25.19,1985,1,0,52
53,1985APR29,29/4/85,119,1985,APR,spring,Delma,25.40631469,25.38,1985,1,0,53
54,1985APR30,30/4/85,120,1985,APR,spring,Delma,25.5821394,25.77,1985,1,0,54
55,1985MAY01,1/5/85,121,1985,MAY,spring,Delma,25.75318748,25.87,1985,1,0,55
56,1985MAY02,2/5/85,122,1985,MAY,spring,Delma,25.90676248,25.89,1985,1,0,56
57,1985MAY03,3/5/85,123,1985,MAY,spring,Delma,25.97852748,25.72,1985,1,0,57
58,1985MAY04,4/5/85,124,1985,MAY,spring,Delma,26.14605715,26.01,1985,1,0,58
59,1985MAY05,5/5/85,125,1985,MAY,spring,Delma,26.31124953,26.12,1985,1,0,59
60,1985MAY06,6/5/85,126,1985,MAY,spring,Delma,26.44774959,26.31,1985,1,0,60
61,1985MAY07,7/5/85,127,1985,MAY,spring,Delma,26.63138298,26.7,1985,1,0,61
62,1985MAY08,8/5/85,128,1985,MAY,spring,Delma,27.00586525,27.63,1985,1,0,62
63,1985MAY09,9/5/85,129,1985,MAY,spring,Delma,27.30374988,27.56,1985,1,0,63
64,1985MAY10,10/5/85,130,1985,MAY,spring,Delma,27.51591657,27.35,1985,1,0,64
65,1985MAY11,11/5/85,131,1985,MAY,spring,Delma,27.79046102,27.72,1985,1,0,65
66,1985MAY12,12/5/85,132,1985,MAY,spring,Delma,27.90573289,27.36,1985,1,0,66
67,1985MAY13,13/5/85,133,1985,MAY,spring,Delma,28.0309685,27.53,1985,1,0,67
68,1985MAY14,14/5/85,134,1985,MAY,spring,Delma,28.13550604,27.66,1985,1,0,68
69,1985MAY15,15/5/85,135,1985,MAY,spring,Delma,28.1647719,27.76,1985,1,0,69
70,1985MAY16,16/5/85,136,1985,MAY,spring,Delma,28.21813564,28.08,1985,1,0,70
71,1985MAY17,17/5/85,137,1985,MAY,spring,Delma,28.34171756,28.3,1985,1,0,71
72,1985MAY18,18/5/85,138,1985,MAY,spring,Delma,28.49682188,28.52,1985,1,0,72
73,1985MAY19,19/5/85,139,1985,MAY,spring,Delma,28.96657897,29.78,1985,1,0,73
74,1985MAY20,20/5/85,140,1985,MAY,spring,Delma,29.41036844,29.87,1985,1,0,74
75,1985MAY21,21/5/85,141,1985,MAY,spring,Delma,29.77498598,29.87,1985,1,0,75
76,1985MAY22,22/5/85,142,1985,MAY,spring,Delma,30.02232118,29.67,1985,1,0,76
77,1985MAY23,23/5/85,143,1985,MAY,spring,Delma,30.15801169,29.48,1985,1,0,77
78,1985MAY24,24/5/85,144,1985,MAY,spring,Delma,30.27694347,29.62,1985,1,0,78
79,1985MAY25,25/5/85,145,1985,MAY,spring,Delma,30.36401767,29.67,1985,1,0,79
80,1985MAY26,26/5/85,146,1985,MAY,spring,Delma,30.22881531,29.25,1985,1,0,80
81,1985MAY27,27/5/85,147,1985,MAY,spring,Delma,30.05897327,29.39,1985,1,0,81
82,1985MAY28,28/5/85,148,1985,MAY,spring,Delma,29.84177684,29.15,1985,1,0,82
83,1985MAY29,29/5/85,149,1985,MAY,spring,Delma,29.74953992,29.46,1985,1,0,83
84,1985MAY30,30/5/85,150,1985,MAY,spring,Delma,29.68760127,29.43,1985,1,0,84
85,1985MAY31,31/5/85,151,1985,MAY,spring,Delma,29.67725443,29.58,1985,1,0,85
