"","colony","year","Site","track","sample","calc","density","extension","StavR","WtavR","WtsdR","winSlope","StsdR","sumSlope","WcsavR","WcssdR","ScsavR","ScssdR","gulf","dia","height","tf"
"1","ala01",2005,"AlAqah","t1","ala01_t1",0.872,1.41746811,0.6155,32.0740217391304,23.3737777777778,0.708425343219986,0.0674572992550521,0.920382218479717,-0.0332239371115775,0.130744444444444,0.0781717442430607,0.136315217391304,0.0664827382946958,"oman",23,7,TRUE
"2","ala01",2012,"AlAqah","t1","ala01_t1",1.061,1.392703066,0.7619,31.7936956521739,23.1127472527473,0.676251212254515,0.107665308474297,0.869152318358734,-0.0193706218874757,0.137395604395604,0.0870870419141268,0.110619565217391,0.0671065811926768,"oman",23,7,TRUE
"3","ala01",2007,"AlAqah","t1","ala01_t1",0.839,1.330941614,0.6306,32.2289130434783,23.1848888888889,0.543526240426771,0.115377947894802,0.710329526566026,-0.0299404864798124,0.123377777777778,0.0813935615400554,0.112217391304348,0.0480667635706097,"oman",23,7,TRUE
"4","ala01",2009,"AlAqah","t1","ala01_t1",0.413,1.106967005,0.3734,32.4080434782609,23.5317777777778,0.730180180592323,0.0628955015022431,0.620608066105526,-0.0164436761740133,0.123144444444444,0.0575932192308546,0.130597826086957,0.051187451197118,"oman",23,7,TRUE
"5","ala01",2006,"AlAqah","t1","ala01_t1",0.759,1.354358623,0.5601,32.0561956521739,23.4104444444444,0.569040017769156,0.0407453595094045,0.475833201894156,-0.0116078528213361,0.134522222222222,0.0715896903910552,0.132967391304348,0.0464971820218932,"oman",23,7,TRUE
"6","ala01",2010,"AlAqah","t1","ala01_t1",0.808,1.231471994,0.6559,31.8836956521739,24.3151111111111,0.983333295245349,0.0671965263201219,0.721502884158491,-0.0224259785158661,0.134011111111111,0.0750077890254199,0.131978260869565,0.0578723449794952,"oman",23,7,TRUE
"7","ala01",2011,"AlAqah","t2","ala01_t2",0.783,1.423561658,0.5499,31.8217391304348,23.5355555555556,0.664042964480955,0.104007161377948,0.860870513543904,-0.0162714738445076,0.116455555555556,0.0629374865718359,0.121141304347826,0.0542253299397172,"oman",23,7,TRUE
"8","ala01",2008,"AlAqah","t2","ala01_t2",0.799,1.479945573,0.5398,31.6182608695652,23.4605494505495,1.13833832369561,0.0929841544223568,0.597650360308816,-0.00641634769724651,0.110208791208791,0.0627240015169661,0.144782608695652,0.079203011665316,"oman",23,7,TRUE
"9","ala01",2013,"AlAqah","t1","ala01_t1",1.121,1.406555889,0.7971,30.7819565217391,23.6134444444444,0.680006875561921,0.0564663950281929,0.659565689820028,-0.0236389677737992,0.110602739726027,0.07319546504737,0.0968988764044944,0.053220178363914,"oman",23,7,TRUE
"10","ala01",2010,"AlAqah","t2","ala01_t2",0.683,1.440121284,0.4742,31.8836956521739,24.3151111111111,0.983333295245349,0.0671965263201219,0.721502884158491,-0.0224259785158661,0.134011111111111,0.0750077890254199,0.131978260869565,0.0578723449794952,"oman",23,7,TRUE
"11","ala01",2007,"AlAqah","t2","ala01_t2",1.244,1.475825324,0.8426,32.2289130434783,23.1848888888889,0.543526240426771,0.115377947894802,0.710329526566026,-0.0299404864798124,0.123377777777778,0.0813935615400554,0.112217391304348,0.0480667635706097,"oman",23,7,TRUE
"12","ala01",2008,"AlAqah","t1","ala01_t1",0.861,1.264620454,0.6811,31.6182608695652,23.4605494505495,1.13833832369561,0.0929841544223568,0.597650360308816,-0.00641634769724651,0.110208791208791,0.0627240015169661,0.144782608695652,0.079203011665316,"oman",23,7,TRUE
"13","ala01",2011,"AlAqah","t1","ala01_t1",0.882,1.445414687,0.6104,31.8217391304348,23.5355555555556,0.664042964480955,0.104007161377948,0.860870513543904,-0.0162714738445076,0.116455555555556,0.0629374865718359,0.121141304347826,0.0542253299397172,"oman",23,7,TRUE
"14","ala01",2013,"AlAqah","t2","ala01_t2",0.808,1.222817339,0.661,30.7819565217391,23.6134444444444,0.680006875561921,0.0564663950281929,0.659565689820028,-0.0236389677737992,0.110602739726027,0.07319546504737,0.0968988764044944,0.053220178363914,"oman",23,7,TRUE
"15","ala01",2012,"AlAqah","t2","ala01_t2",0.844,1.405657891,0.6004,31.7936956521739,23.1127472527473,0.676251212254515,0.107665308474297,0.869152318358734,-0.0193706218874757,0.137395604395604,0.0870870419141268,0.110619565217391,0.0671065811926768,"oman",23,7,TRUE
"16","ala01",2006,"AlAqah","t2","ala01_t2",0.602,1.590691273,0.3784,32.0561956521739,23.4104444444444,0.569040017769156,0.0407453595094045,0.475833201894156,-0.0116078528213361,0.134522222222222,0.0715896903910552,0.132967391304348,0.0464971820218932,"oman",23,7,TRUE
"17","ala01",2009,"AlAqah","t2","ala01_t2",0.912,1.445557901,0.6307,32.4080434782609,23.5317777777778,0.730180180592323,0.0628955015022431,0.620608066105526,-0.0164436761740133,0.123144444444444,0.0575932192308546,0.130597826086957,0.051187451197118,"oman",23,7,TRUE
"18","ala02",2010,"AlAqah","t1","ala02_t1",1.452,1.383864771,1.0494,31.8836956521739,24.3151111111111,0.983333295245349,0.0671965263201219,0.721502884158491,-0.0224259785158661,0.134011111111111,0.0750077890254199,0.131978260869565,0.0578723449794952,"oman",11,6,TRUE
"19","ala02",2012,"AlAqah","t2","ala02_t2",1.202,1.022298383,1.1755,31.7936956521739,23.1127472527473,0.676251212254515,0.107665308474297,0.869152318358734,-0.0193706218874757,0.137395604395604,0.0870870419141268,0.110619565217391,0.0671065811926768,"oman",11,6,TRUE
"20","ala02",2012,"AlAqah","t1","ala02_t1",1.145,1.031657726,1.11,31.7936956521739,23.1127472527473,0.676251212254515,0.107665308474297,0.869152318358734,-0.0193706218874757,0.137395604395604,0.0870870419141268,0.110619565217391,0.0671065811926768,"oman",11,6,TRUE
"21","ala02",2011,"AlAqah","t2","ala02_t2",1.281,1.275777949,1.004,31.8217391304348,23.5355555555556,0.664042964480955,0.104007161377948,0.860870513543904,-0.0162714738445076,0.116455555555556,0.0629374865718359,0.121141304347826,0.0542253299397172,"oman",11,6,TRUE
"22","ala02",2013,"AlAqah","t2","ala02_t2",1.385,0.963129134,1.4379,30.7819565217391,23.6134444444444,0.680006875561921,0.0564663950281929,0.659565689820028,-0.0236389677737992,0.110602739726027,0.07319546504737,0.0968988764044944,0.053220178363914,"oman",11,6,TRUE
"23","ala02",2011,"AlAqah","t1","ala02_t1",1.329,1.144963588,1.1604,31.8217391304348,23.5355555555556,0.664042964480955,0.104007161377948,0.860870513543904,-0.0162714738445076,0.116455555555556,0.0629374865718359,0.121141304347826,0.0542253299397172,"oman",11,6,TRUE
"24","ala02",2013,"AlAqah","t1","ala02_t1",1.027,1.028094018,0.999,30.7819565217391,23.6134444444444,0.680006875561921,0.0564663950281929,0.659565689820028,-0.0236389677737992,0.110602739726027,0.07319546504737,0.0968988764044944,0.053220178363914,"oman",11,6,TRUE
"25","ala02",2010,"AlAqah","t2","ala02_t2",1.528,1.470312001,1.0393,31.8836956521739,24.3151111111111,0.983333295245349,0.0671965263201219,0.721502884158491,-0.0224259785158661,0.134011111111111,0.0750077890254199,0.131978260869565,0.0578723449794952,"oman",11,6,TRUE
"26","ala08",2012,"AlAqah","t2","ala08_t2",0.563,1.267730776,0.444,31.7936956521739,23.1127472527473,0.676251212254515,0.107665308474297,0.869152318358734,-0.0193706218874757,0.137395604395604,0.0870870419141268,0.110619565217391,0.0671065811926768,"oman",15,8,TRUE
"27","ala08",2011,"AlAqah","t1","ala08_t1",0.568,1.42504031,0.3986,31.8217391304348,23.5355555555556,0.664042964480955,0.104007161377948,0.860870513543904,-0.0162714738445076,0.116455555555556,0.0629374865718359,0.121141304347826,0.0542253299397172,"oman",15,8,TRUE
"28","ala08",2005,"AlAqah","t2","ala08_t2",1.177,1.524158184,0.772,32.0740217391304,23.3737777777778,0.708425343219986,0.0674572992550521,0.920382218479717,-0.0332239371115775,0.130744444444444,0.0781717442430607,0.136315217391304,0.0664827382946958,"oman",15,8,TRUE
"29","ala08",2011,"AlAqah","t2","ala08_t2",0.74,1.345114844,0.5499,31.8217391304348,23.5355555555556,0.664042964480955,0.104007161377948,0.860870513543904,-0.0162714738445076,0.116455555555556,0.0629374865718359,0.121141304347826,0.0542253299397172,"oman",15,8,TRUE
"30","ala08",2006,"AlAqah","t1","ala08_t1",0.656,1.733986092,0.3784,32.0561956521739,23.4104444444444,0.569040017769156,0.0407453595094045,0.475833201894156,-0.0116078528213361,0.134522222222222,0.0715896903910552,0.132967391304348,0.0464971820218932,"oman",15,8,TRUE
"31","ala08",2009,"AlAqah","t1","ala08_t1",1.087,1.164129814,0.9334,32.4080434782609,23.5317777777778,0.730180180592323,0.0628955015022431,0.620608066105526,-0.0164436761740133,0.123144444444444,0.0575932192308546,0.130597826086957,0.051187451197118,"oman",15,8,TRUE
"32","ala08",2007,"AlAqah","t1","ala08_t1",1.449,1.640925762,0.883,32.2289130434783,23.1848888888889,0.543526240426771,0.115377947894802,0.710329526566026,-0.0299404864798124,0.123377777777778,0.0813935615400554,0.112217391304348,0.0480667635706097,"oman",15,8,TRUE
"33","ala08",2012,"AlAqah","t1","ala08_t1",0.705,1.470621114,0.4793,31.7936956521739,23.1127472527473,0.676251212254515,0.107665308474297,0.869152318358734,-0.0193706218874757,0.137395604395604,0.0870870419141268,0.110619565217391,0.0671065811926768,"oman",15,8,TRUE
"34","ala08",2007,"AlAqah","t2","ala08_t2",1.339,1.701101133,0.787,32.2289130434783,23.1848888888889,0.543526240426771,0.115377947894802,0.710329526566026,-0.0299404864798124,0.123377777777778,0.0813935615400554,0.112217391304348,0.0480667635706097,"oman",15,8,TRUE
"35","ala08",2006,"AlAqah","t2","ala08_t2",1.291,1.729375831,0.7467,32.0561956521739,23.4104444444444,0.569040017769156,0.0407453595094045,0.475833201894156,-0.0116078528213361,0.134522222222222,0.0715896903910552,0.132967391304348,0.0464971820218932,"oman",15,8,TRUE
"36","ala08",2013,"AlAqah","t1","ala08_t1",0.946,1.311634769,0.7215,30.7819565217391,23.6134444444444,0.680006875561921,0.0564663950281929,0.659565689820028,-0.0236389677737992,0.110602739726027,0.07319546504737,0.0968988764044944,0.053220178363914,"oman",15,8,TRUE
"37","ala08",2008,"AlAqah","t1","ala08_t1",0.578,1.415055573,0.4086,31.6182608695652,23.4605494505495,1.13833832369561,0.0929841544223568,0.597650360308816,-0.00641634769724651,0.110208791208791,0.0627240015169661,0.144782608695652,0.079203011665316,"oman",15,8,TRUE
"38","ala08",2010,"AlAqah","t2","ala08_t2",0.893,1.340796601,0.666,31.8836956521739,24.3151111111111,0.983333295245349,0.0671965263201219,0.721502884158491,-0.0224259785158661,0.134011111111111,0.0750077890254199,0.131978260869565,0.0578723449794952,"oman",15,8,TRUE
"39","ala08",2013,"AlAqah","t2","ala08_t2",0.707,1.147997772,0.6155,30.7819565217391,23.6134444444444,0.680006875561921,0.0564663950281929,0.659565689820028,-0.0236389677737992,0.110602739726027,0.07319546504737,0.0968988764044944,0.053220178363914,"oman",15,8,TRUE
"40","ala08",2008,"AlAqah","t2","ala08_t2",0.876,1.607827167,0.5449,31.6182608695652,23.4605494505495,1.13833832369561,0.0929841544223568,0.597650360308816,-0.00641634769724651,0.110208791208791,0.0627240015169661,0.144782608695652,0.079203011665316,"oman",15,8,TRUE
"41","ala08",2005,"AlAqah","t1","ala08_t1",1.112,1.404299121,0.7921,32.0740217391304,23.3737777777778,0.708425343219986,0.0674572992550521,0.920382218479717,-0.0332239371115775,0.130744444444444,0.0781717442430607,0.136315217391304,0.0664827382946958,"oman",15,8,TRUE
"42","ala08",2009,"AlAqah","t2","ala08_t2",1.02,1.444341552,0.7063,32.4080434782609,23.5317777777778,0.730180180592323,0.0628955015022431,0.620608066105526,-0.0164436761740133,0.123144444444444,0.0575932192308546,0.130597826086957,0.051187451197118,"oman",15,8,TRUE
"43","ala08",2010,"AlAqah","t1","ala08_t1",0.789,1.250536916,0.6306,31.8836956521739,24.3151111111111,0.983333295245349,0.0671965263201219,0.721502884158491,-0.0224259785158661,0.134011111111111,0.0750077890254199,0.131978260869565,0.0578723449794952,"oman",15,8,TRUE
"45","ala10",2008,"AlAqah","t1","ala10_t1",0.814,1.753697208,0.4641,31.6182608695652,23.4605494505495,1.13833832369561,0.0929841544223568,0.597650360308816,-0.00641634769724651,0.110208791208791,0.0627240015169661,0.144782608695652,0.079203011665316,"oman",18,8.5,TRUE
"46","ala10",2011,"AlAqah","t2","ala10_t2",0.887,1.792782981,0.4945,31.8217391304348,23.5355555555556,0.664042964480955,0.104007161377948,0.860870513543904,-0.0162714738445076,0.116455555555556,0.0629374865718359,0.121141304347826,0.0542253299397172,"oman",18,8.5,TRUE
"47","ala10",2012,"AlAqah","t1","ala10_t1",0.998,1.621336824,0.6155,31.7936956521739,23.1127472527473,0.676251212254515,0.107665308474297,0.869152318358734,-0.0193706218874757,0.137395604395604,0.0870870419141268,0.110619565217391,0.0671065811926768,"oman",18,8.5,TRUE
"48","ala10",2011,"AlAqah","t1","ala10_t1",0.769,1.712428642,0.449,31.8217391304348,23.5355555555556,0.664042964480955,0.104007161377948,0.860870513543904,-0.0162714738445076,0.116455555555556,0.0629374865718359,0.121141304347826,0.0542253299397172,"oman",18,8.5,TRUE
"49","ala10",2004,"AlAqah","t2","ala10_t2",1.302,1.654471624,0.787,31.4727173913043,23.7654945054945,0.870207208704103,0.0577824422768243,0.944965960501967,-0.0287937605465694,0.120296703296703,0.0566781350170504,0.118380434782609,0.0497403902898089,"oman",18,8.5,TRUE
"50","ala10",2012,"AlAqah","t2","ala10_t2",0.894,1.502410712,0.5953,31.7936956521739,23.1127472527473,0.676251212254515,0.107665308474297,0.869152318358734,-0.0193706218874757,0.137395604395604,0.0870870419141268,0.110619565217391,0.0671065811926768,"oman",18,8.5,TRUE
"51","ala10",2009,"AlAqah","t1","ala10_t1",1.287,1.993216724,0.6458,32.4080434782609,23.5317777777778,0.730180180592323,0.0628955015022431,0.620608066105526,-0.0164436761740133,0.123144444444444,0.0575932192308546,0.130597826086957,0.051187451197118,"oman",18,8.5,TRUE
"52","ala10",2003,"AlAqah","t2","ala10_t2",1.133,1.603888582,0.7064,30.9294565217391,23.412,0.613362806652205,0.0552400707906327,0.551555969145341,-0.0250495946001563,0.141766666666667,0.0710182837670236,0.089304347826087,0.0403241642523056,"oman",18,8.5,TRUE
"53","ala10",2006,"AlAqah","t2","ala10_t2",0.927,1.583842886,0.5852,32.0561956521739,23.4104444444444,0.569040017769156,0.0407453595094045,0.475833201894156,-0.0116078528213361,0.134522222222222,0.0715896903910552,0.132967391304348,0.0464971820218932,"oman",18,8.5,TRUE
"54","ala10",2003,"AlAqah","t1","ala10_t1",0.882,1.9203711,0.4591,30.9294565217391,23.412,0.613362806652205,0.0552400707906327,0.551555969145341,-0.0250495946001563,0.141766666666667,0.0710182837670236,0.089304347826087,0.0403241642523056,"oman",18,8.5,TRUE
"55","ala10",2010,"AlAqah","t1","ala10_t1",1.619,1.854835962,0.8729,31.8836956521739,24.3151111111111,0.983333295245349,0.0671965263201219,0.721502884158491,-0.0224259785158661,0.134011111111111,0.0750077890254199,0.131978260869565,0.0578723449794952,"oman",18,8.5,TRUE
"56","ala10",2013,"AlAqah","t2","ala10_t2",0.465,1.315119916,0.3532,30.7819565217391,23.6134444444444,0.680006875561921,0.0564663950281929,0.659565689820028,-0.0236389677737992,0.110602739726027,0.07319546504737,0.0968988764044944,0.053220178363914,"oman",18,8.5,TRUE
"57","ala10",2002,"AlAqah","t2","ala10_t2",1.173,1.614874896,0.7265,32.2835869565217,24.0335555555556,0.871005245293241,0.050457998929909,0.982160190960273,-0.0303648187018975,0.127066666666667,0.0671330726110629,0.131304347826087,0.0415797232732745,"oman",18,8.5,TRUE
"58","ala10",2013,"AlAqah","t1","ala10_t1",0.872,1.464363021,0.5953,30.7819565217391,23.6134444444444,0.680006875561921,0.0564663950281929,0.659565689820028,-0.0236389677737992,0.110602739726027,0.07319546504737,0.0968988764044944,0.053220178363914,"oman",18,8.5,TRUE
"59","ala10",2010,"AlAqah","t2","ala10_t2",0.86,1.894222928,0.4541,31.8836956521739,24.3151111111111,0.983333295245349,0.0671965263201219,0.721502884158491,-0.0224259785158661,0.134011111111111,0.0750077890254199,0.131978260869565,0.0578723449794952,"oman",18,8.5,TRUE
"60","ala10",2004,"AlAqah","t1","ala10_t1",1.482,1.779896545,0.8325,31.4727173913043,23.7654945054945,0.870207208704103,0.0577824422768243,0.944965960501967,-0.0287937605465694,0.120296703296703,0.0566781350170504,0.118380434782609,0.0497403902898089,"oman",18,8.5,TRUE
"61","ala10",2005,"AlAqah","t2","ala10_t2",1.167,1.629123926,0.7165,32.0740217391304,23.3737777777778,0.708425343219986,0.0674572992550521,0.920382218479717,-0.0332239371115775,0.130744444444444,0.0781717442430607,0.136315217391304,0.0664827382946958,"oman",18,8.5,TRUE
